SAB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"7,272","4,322","9,090","7,358","9,066"
2. Các khoản giảm trừ doanh thu,46,40,87,52,58
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"7,226","4,282","9,004","7,306","9,008"
4. Giá vốn hàng bán,"4,963","3,141","6,512","5,129","5,923"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,263","1,142","2,492","2,177","3,086"
6.Doanh thu hoạt động tài chính,217,223,262,229,253
7. Chi phí tài chính,-7,3,10,11,27
Trong đó :Chi phí lãi vay,13,11,11,11,10
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",13,4,97,55,74
9. Chi phí bán hàng,"1,101",608,947,755,"1,012"
10. Chi phí quản lý doanh nghiệp,96,160,171,165,165
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,303",598,"1,724","1,530","2,210"
12. Thu nhập khác,9,4,6,4,4
13. Chi phí khác,8,2,6,2,9
14. Lợi nhuận khác,1,1,-1,2,-5
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,304",599,"1,723","1,532","2,205"
16. Chi phí thuế TNDN hiện hành,205,109,382,277,384
17. Chi phí thuế TNDN hoãn lại,28,18,-59,19,28
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,071",472,"1,400","1,236","1,793"
Lợi ích của cổ đông thiểu số,72,28,86,66,125
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,999,444,"1,314","1,171","1,668"
19. Lãi cơ bản trên cổ phiếu (*),"1,505",636,"1,994","1,779","2,554"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
