SAB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"10,405","9,338","9,179","9,804","9,812"
2. Các khoản giảm trừ doanh thu,-1,1,92,59,83
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"10,406","9,337","9,088","9,745","9,729"
4. Giá vốn hàng bán,"8,222","7,146","6,674","7,347","7,182"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,184","2,191","2,414","2,399","2,547"
6.Doanh thu hoạt động tài chính,174,172,199,251,268
7. Chi phí tài chính,37,-4,13,-14,98
Trong đó :Chi phí lãi vay,8,8,6,6,18
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",87,76,91,89,122
9. Chi phí bán hàng,934,692,644,764,904
10. Chi phí quản lý doanh nghiệp,350,166,183,181,517
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,124","1,585","1,863","1,808","1,418"
12. Thu nhập khác,20,7,12,20,35
13. Chi phí khác,11,8,4,27,23
14. Lợi nhuận khác,9,-1,8,-7,11
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,133","1,584","1,872","1,801","1,429"
16. Chi phí thuế TNDN hiện hành,266,348,287,344,368
17. Chi phí thuế TNDN hoãn lại,-52,-54,54,-2,-29
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,919,"1,290","1,530","1,459","1,091"
Lợi ích của cổ đông thiểu số,56,69,92,73,82
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,863,"1,221","1,438","1,386","1,008"
19. Lãi cơ bản trên cổ phiếu (*),"1,258","1,789","2,164","2,062","1,462"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
