SAB,Q3/2014,Q1/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/07-30/09,01/01-31/03,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"7,533","5,744","9,690","4,922","7,133"
2. Các khoản giảm trừ doanh thu,"1,229",2,6,9,2
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,304","5,743","9,684","4,913","7,131"
4. Giá vốn hàng bán,"4,293","4,017","7,708","2,886","5,227"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,011","1,725","1,977","2,027","1,904"
6.Doanh thu hoạt động tài chính,96,95,109,116,99
7. Chi phí tài chính,56,22,26,61,21
Trong đó :Chi phí lãi vay,24,21,18,18,16
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,23,122,141,6
9. Chi phí bán hàng,881,451,529,"1,021",619
10. Chi phí quản lý doanh nghiệp,139,129,282,299,148
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,031","1,242","1,371",902,"1,220"
12. Thu nhập khác,21,20,-25,74,22
13. Chi phí khác,22,10,19,36,17
14. Lợi nhuận khác,-1,10,-44,38,6
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,171,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,201","1,252","1,327",940,"1,226"
16. Chi phí thuế TNDN hiện hành,166,297,315,246,240
17. Chi phí thuế TNDN hoãn lại,7,-25,-52,-163,2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,028",980,"1,063",857,983
Lợi ích của cổ đông thiểu số,50,26,18,147,35
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,978,955,"1,046",711,949
19. Lãi cơ bản trên cổ phiếu (*),"1,527","1,488","1,631","1,108","1,480"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
