SAB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"4,939","7,185","8,107","7,905","5,893"
2. Các khoản giảm trừ doanh thu,30,50,54,40,32
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"4,909","7,135","8,052","7,865","5,861"
4. Giá vốn hàng bán,"3,556","4,928","5,580","5,397","4,150"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,353","2,207","2,472","2,468","1,712"
6.Doanh thu hoạt động tài chính,269,227,239,240,417
7. Chi phí tài chính,20,19,24,42,17
Trong đó :Chi phí lãi vay,18,17,13,16,14
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",41,58,78,90,60
9. Chi phí bán hàng,560,795,750,754,845
10. Chi phí quản lý doanh nghiệp,141,212,209,140,171
11. Lợi nhuận thuần từ hoạt động kinh doanh,942,"1,466","1,806","1,862","1,156"
12. Thu nhập khác,6,9,23,18,78
13. Chi phí khác,2,3,7,8,2
14. Lợi nhuận khác,4,6,16,9,75
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,945,"1,473","1,822","1,872","1,231"
16. Chi phí thuế TNDN hiện hành,224,223,343,334,259
17. Chi phí thuế TNDN hoãn lại,4,33,9,4,-14
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,717,"1,216","1,470","1,534",986
Lợi ích của cổ đông thiểu số,17,51,77,68,66
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,700,"1,164","1,393","1,466",921
19. Lãi cơ bản trên cổ phiếu (*),"1,031","1,773","2,046","2,214","1,528"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
