SAB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,106","10,537","7,827","9,239","8,563"
2. Các khoản giảm trừ doanh thu,51,70,17,69,1
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,055","10,467","7,810","9,170","8,563"
4. Giá vốn hàng bán,"5,930","7,918","5,866","7,073","6,703"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,125","2,550","1,944","2,096","1,860"
6.Doanh thu hoạt động tài chính,134,153,138,145,174
7. Chi phí tài chính,12,-94,5,-25,23
Trong đó :Chi phí lãi vay,22,31,10,8,9
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",83,123,90,71,107
9. Chi phí bán hàng,711,847,594,577,664
10. Chi phí quản lý doanh nghiệp,195,307,177,204,183
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,425","1,766","1,396","1,557","1,272"
12. Thu nhập khác,14,52,17,23,22
13. Chi phí khác,27,28,4,10,18
14. Lợi nhuận khác,-13,24,13,13,4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,411","1,790","1,409","1,570","1,276"
16. Chi phí thuế TNDN hiện hành,266,367,212,269,250
17. Chi phí thuế TNDN hoãn lại,-7,4,41,9,-9
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,152","1,419","1,156","1,291","1,035"
Lợi ích của cổ đông thiểu số,54,119,42,68,60
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,098","1,300","1,114","1,223",975
19. Lãi cơ bản trên cổ phiếu (*),"1,612","1,927","1,736","1,820","1,432"
20. Lãi suy giảm trên cổ phiếu (*),,,,"1,820",
