SAB,Q1/2014,Q3/2014,Q1/2015,Q3/2015,Q4/2015
Giai đoạn,01/01-31/03,01/07-30/09,01/01-31/03,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"5,915","7,533","5,744","9,690","4,922"
2. Các khoản giảm trừ doanh thu,"1,039","1,229",2,6,9
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"4,876","6,304","5,743","9,684","4,913"
4. Giá vốn hàng bán,"3,424","4,293","4,017","7,708","2,886"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,452","2,011","1,725","1,977","2,027"
6.Doanh thu hoạt động tài chính,84,96,95,109,116
7. Chi phí tài chính,39,56,22,26,61
Trong đó :Chi phí lãi vay,32,24,21,18,18
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,23,122,141
9. Chi phí bán hàng,317,881,451,529,"1,021"
10. Chi phí quản lý doanh nghiệp,118,139,129,282,299
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,061","1,031","1,242","1,371",902
12. Thu nhập khác,22,21,20,-25,74
13. Chi phí khác,10,22,10,19,36
14. Lợi nhuận khác,12,-1,10,-44,38
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,31,171,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,104","1,201","1,252","1,327",940
16. Chi phí thuế TNDN hiện hành,224,166,297,315,246
17. Chi phí thuế TNDN hoãn lại,-5,7,-25,-52,-163
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,885,"1,028",980,"1,063",857
Lợi ích của cổ đông thiểu số,50,50,26,18,147
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,835,978,955,"1,046",711
19. Lãi cơ bản trên cổ phiếu (*),"1,303","1,527","1,488","1,631","1,108"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
