SAB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,679","10,132","6,240","8,382","7,504"
2. Các khoản giảm trừ doanh thu,44,103,26,69,89
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,635","10,029","6,214","8,312","7,415"
4. Giá vốn hàng bán,"5,941","7,216","4,299","5,824","5,182"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,694","2,814","1,915","2,488","2,233"
6.Doanh thu hoạt động tài chính,284,324,358,354,373
7. Chi phí tài chính,13,32,21,17,19
Trong đó :Chi phí lãi vay,11,14,18,14,11
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",129,65,44,78,77
9. Chi phí bán hàng,"1,153","1,612",861,"1,167","1,112"
10. Chi phí quản lý doanh nghiệp,210,200,182,200,204
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,731","1,359","1,253","1,536","1,347"
12. Thu nhập khác,6,7,2,3,5
13. Chi phí khác,20,6,3,15,7
14. Lợi nhuận khác,-14,1,-1,-12,-2
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,717","1,360","1,252","1,524","1,345"
16. Chi phí thuế TNDN hiện hành,321,343,187,306,261
17. Chi phí thuế TNDN hoãn lại,2,-59,61,8,10
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,395","1,076","1,004","1,210","1,074"
Lợi ích của cổ đông thiểu số,53,33,37,51,30
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,342","1,043",967,"1,159","1,044"
19. Lãi cơ bản trên cổ phiếu (*),"2,046","1,580","1,469","1,768","1,589"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
