ACB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","5,466","5,519","5,825","6,968","6,038"
II. Tiền gửi tại NHNN,"12,671","20,814","12,289","16,617","20,233"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","30,650","25,079","29,839","31,671","27,746"
"1. Tiền, vàng gửi tại các TCTD khác","20,820","18,197","20,262","23,311","22,292"
2. Cho vay các TCTD khác,"9,901","7,282","9,976","8,360","5,454"
3. Dự phòng rủi ro cho vay các TCTD khác,-71,-400,-400,,
IV. Chứng khoán kinh doanh,"2,035",636,"4,144","6,168","4,420"
1. Chứng khoán kinh doanh,"2,243",777,"4,278","6,286","4,530"
2. Dự phòng giảm giá chứng khoán kinh doanh,-208,-141,-134,-118,-110
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,129,43,54,136
VI. Cho vay khách hàng,"272,135","280,990","294,473","308,529","320,755"
1. Cho vay và cho thuê tài chính khách hàng,"274,794","283,755","297,386","311,479","324,311"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,658","-2,765","-2,913","-2,950","-3,556"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"54,187","54,129","61,865","63,399","58,894"
1. Chứng khoán đầu tư sẵn sàng để bán,"14,796","11,140","10,873","10,790","10,294"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"39,941","43,507","51,467","53,048","48,933"
3. Dự phòng giảm giá chứng khoán đầu tư,-549,-517,-475,-440,-333
"VIII. Góp vốn, đầu tư dài hạn",98,98,98,99,100
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",1,1,1,3,3
