ACB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,155","10,104","8,710","10,468","8,789"
II. Tiền gửi tại NHNN,"2,067","3,535","5,076","2,029","3,397"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","54,997","69,631","81,274","54,369","56,003"
"1. Tiền, vàng gửi tại các TCTD khác","54,995","69,631","79,998","53,093","55,693"
2. Cho vay các TCTD khác,2,0,"1,285","1,285",313
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,-10,-10,-3
IV. Chứng khoán kinh doanh,"1,295","1,348","1,308","1,001",583
1. Chứng khoán kinh doanh,"1,606","1,634","1,506","1,044",611
2. Dự phòng giảm giá chứng khoán kinh doanh,-312,-286,-198,-42,-27
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,662,746,"1,016",923,841
VI. Cho vay khách hàng,"101,505","99,327","101,824","103,598","102,430"
1. Cho vay và cho thuê tài chính khách hàng,"102,422","100,334","102,809","104,706","103,727"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-917,"-1,007",-985,"-1,108","-1,298"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"37,752","32,679","26,089","32,759","29,897"
1. Chứng khoán đầu tư sẵn sàng để bán,327,328,329,"5,578","3,614"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"37,447","32,375","25,795","27,202","26,310"
3. Dự phòng giảm giá chứng khoán đầu tư,-22,-24,-35,-21,-27
"VIII. Góp vốn, đầu tư dài hạn","3,081","3,101","3,096","3,583","3,572"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",1,1,1,1,1
3. Đầu tư dài hạn khác,"3,125","3,145","3,144","3,631","3,620"
4. Dự phòng giảm giá đầu tư dài hạn,-45,-45,-49,-49,-49
IX. Tài sản cố định,"1,229","1,245","1,237","1,320","1,354"
1. Tài sản cố định hữu hình,"1,196","1,213","1,208","1,295","1,331"
a. Nguyên giá TSCĐ,"1,196","1,213","1,208","2,129","2,222"
b. Hao mòn TSCĐ,0,0,0,-833,-891
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,34,32,29,25,23
a. Nguyên giá TSCĐ,34,32,29,118,120
b. Hao mòn TSCĐ,0,0,0,-93,-97
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","24,522","42,284","51,402","55,505","49,007"
1. Các khoản phải thu,0,0,0,0,"4,360"
"2. Các khoản lãi, phí phải thu","3,797","6,792","5,621","6,459",0
3. Tài sản thuế TNDN hoãn lại,5,5,5,8,8
4. Tài sản Có khác,"20,720","35,487","45,776","49,039","44,639"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,0,0
TỔNG CỘNG TÀI SẢN,"233,266","264,000","281,033","265,556","255,872"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
