ACB,Q1/2007,Q2/2007,Q3/2007,Q4/2007,Q1/2008
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,286","7,152","9,094","4,927","4,532"
II. Tiền gửi tại NHNN,0,0,"4,203","5,145","5,182"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","32,950","37,270","17,482","28,612","31,419"
"1. Tiền, vàng gửi tại các TCTD khác","19,203","20,688","17,372","28,448","31,305"
2. Cho vay các TCTD khác,"13,747","16,582",111,164,115
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,0,-1
IV. Chứng khoán kinh doanh,0,0,214,,565
1. Chứng khoán kinh doanh,0,0,214,,567
2. Dự phòng giảm giá chứng khoán kinh doanh,0,0,0,,-2
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,0,,0
VI. Cho vay khách hàng,0,0,"25,148","31,301","40,449"
1. Cho vay và cho thuê tài chính khách hàng,0,0,"25,266","31,436","40,694"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,0,0,-118,-135,-245
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,0,0,"4,740","9,148","11,479"
1. Chứng khoán đầu tư sẵn sàng để bán,0,0,500,"1,674","3,231"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,0,0,"4,240","7,474","8,268"
3. Dự phòng giảm giá chứng khoán đầu tư,0,0,0,,-20
"VIII. Góp vốn, đầu tư dài hạn","9,227","10,905","1,499","1,223",837
1. Đầu tư vào công ty con,590,590,840,940,0
"2. Đầu tư vào công ty liên doanh, liên kết","8,463","9,629",0,,196
3. Đầu tư dài hạn khác,175,686,659,283,641
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,,0
IX. Tài sản cố định,401,449,496,540,653
1. Tài sản cố định hữu hình,383,408,457,499,604
a. Nguyên giá TSCĐ,488,527,593,649,604
b. Hao mòn TSCĐ,-105,-119,-135,-150,0
2. Tài sản cố định thuê tài chính,0,0,0,,0
a. Nguyên giá TSCĐ,0,0,0,,0
b. Hao mòn TSCĐ,0,0,0,,0
3. Tài sản cố định vô hình,18,41,39,41,48
a. Nguyên giá TSCĐ,34,59,59,64,48
b. Hao mòn TSCĐ,-17,-18,-20,-23,0
X. Bất động sản đầu tư,0,0,0,,0
a. Nguyên giá BĐSĐT,0,0,0,,0
b. Hao mòn BĐSĐT,0,0,0,,0
"XI. Tài sản ""Có"" khác","1,493","2,601","8,251","6,253","4,292"
1. Các khoản phải thu,"1,151","2,206","7,083","4,933","2,545"
"2. Các khoản lãi, phí phải thu",266,326,"1,092","1,225","1,373"
3. Tài sản thuế TNDN hoãn lại,0,0,0,,0
4. Tài sản Có khác,76,69,77,95,373
- Trong đó: Lợi thế thương mại,0,0,0,,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,,0
TỔNG CỘNG TÀI SẢN,"50,356","58,378","71,126","87,149","99,409"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"43,735","49,817",56,655,49
II. Tiền gửi và vay các TCTD khác,"1,931",882,"7,441","7,456","2,812"
1. Tiền gửi của các TCTD khác,"1,931",882,"7,226","7,456","2,812"
2. Vay các TCTD khác,0,0,215,,0
III. Tiền gửi của khách hàng,0,0,"47,867","55,855","61,958"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,0,,1
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,0,318,323,323
VI. Phát hành giấy tờ có giá,0,0,"8,405","11,689","15,921"
VII. Các khoản nợ khác,"2,677","3,499","2,495","3,238","11,682"
"1. Các khoản lãi, phí phải trả","2,677","3,499",702,789,995
2. Thuế TNDN hoãn lại phải trả,0,0,0,,0
3. Các khoản phải trả và công nợ khác,0,0,"1,781","2,433","10,658"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,12,15,29
TỔNG NỢ PHẢI TRẢ,"48,344","54,198","66,582","79,215","92,746"
VIII. Vốn và các quỹ,"2,012","4,180","4,544","7,934","6,663"
1. Vốn của TCTD,"1,103","2,539","2,530","2,630","2,630"
a. Vốn điều lệ,"1,103","2,539","2,530","2,630","2,630"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,0,0,0,,0
d. Cổ phiếu quỹ,0,0,0,,0
e. Cổ phiếu ưu đãi,0,0,0,,0
g. Vốn khác,0,0,0,,0
2. Quỹ của TCTD,489,819,815,"3,527","3,581"
3. Chênh lệch tỷ giá hối đoái,0,0,4,,3
4. Chênh lệch đánh giá lại tài sản,0,0,0,,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,420,822,"1,195","1,777",450
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"50,356","58,378","71,126","87,149","99,409"
