ACB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","13,502","7,096","5,807","2,763","2,702"
II. Tiền gửi tại NHNN,"3,608","5,555","2,092","2,219","1,937"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","34,862","21,986","17,601","12,838","9,932"
"1. Tiền, vàng gửi tại các TCTD khác","33,508","20,328","15,581","11,011","6,864"
2. Cho vay các TCTD khác,"1,368","1,673","2,036","1,841","3,092"
3. Dự phòng rủi ro cho vay các TCTD khác,-14,-16,-15,-14,-23
IV. Chứng khoán kinh doanh,848,973,937,"1,029","1,144"
1. Chứng khoán kinh doanh,938,"1,167","1,177","1,259","1,387"
2. Dự phòng giảm giá chứng khoán kinh doanh,-89,-194,-239,-230,-243
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,931,12,1,4,7
VI. Cho vay khách hàng,"101,311","101,334","105,467","108,787","102,700"
1. Cho vay và cho thuê tài chính khách hàng,"102,855","102,802","107,140","110,477","104,457"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,544","-1,468","-1,672","-1,691","-1,757"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"22,500","24,018","28,132","27,941","29,492"
1. Chứng khoán đầu tư sẵn sàng để bán,831,"4,169","8,130","7,602","5,799"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"21,706","20,096","20,300","20,656","23,979"
3. Dự phòng giảm giá chứng khoán đầu tư,-37,-248,-298,-318,-285
"VIII. Góp vốn, đầu tư dài hạn","3,576","1,856","1,414","1,115","1,102"
1. Đầu tư vào công ty con,0,0,2,,
"2. Đầu tư vào công ty liên doanh, liên kết",1,2,"1,463",2,2
3. Đầu tư dài hạn khác,"3,623","1,910",-50,"1,193","1,179"
4. Dự phòng giảm giá đầu tư dài hạn,-48,-56,,-80,-79
IX. Tài sản cố định,"1,387","1,473","1,678","1,613","1,710"
1. Tài sản cố định hữu hình,"1,358","1,438","1,643","1,562","1,619"
a. Nguyên giá TSCĐ,"2,305","2,447","2,716","2,379","2,472"
b. Hao mòn TSCĐ,-947,"-1,009","-1,073",-817,-852
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,29,35,34,51,91
a. Nguyên giá TSCĐ,130,139,142,162,206
b. Hao mòn TSCĐ,-100,-104,-108,-111,-115
X. Bất động sản đầu tư,0,0,,,
