ACB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,599","2,632","3,200","2,806","3,057"
II. Tiền gửi tại NHNN,"5,317","2,279","4,767","4,609","5,004"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","3,974","5,110","8,056","10,122","9,360"
"1. Tiền, vàng gửi tại các TCTD khác","4,271","5,212","6,887","5,972","6,182"
2. Cho vay các TCTD khác,500,,"1,345","4,351","3,378"
3. Dự phòng rủi ro cho vay các TCTD khác,-797,-102,-176,-200,-200
IV. Chứng khoán kinh doanh,"2,451",992,445,168,459
1. Chứng khoán kinh doanh,"2,476",995,447,216,466
2. Dự phòng giảm giá chứng khoán kinh doanh,-25,-3,-3,-48,-7
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,5,16,31,48,1
VI. Cho vay khách hàng,"117,525","126,814","129,482","132,491","142,520"
1. Cho vay và cho thuê tài chính khách hàng,"119,201","128,353","131,021","134,032","144,229"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,676","-1,540","-1,539","-1,541","-1,710"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"42,217","39,683","34,773","38,612","38,727"
1. Chứng khoán đầu tư sẵn sàng để bán,"25,644","19,445","8,566","11,828","8,758"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"17,070","21,075","27,270","28,822","32,320"
3. Dự phòng giảm giá chứng khoán đầu tư,-496,-836,"-1,062","-2,038","-2,351"
"VIII. Góp vốn, đầu tư dài hạn",884,739,733,208,190
1. Đầu tư vào công ty con,,,,,1
"2. Đầu tư vào công ty liên doanh, liên kết",2,2,2,2,0
