ACB,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Công ty mẹ,Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","9,309","5,848","6,166","3,497","6,758"
II. Tiền gửi tại NHNN,"2,121","1,917","2,224","1,824","1,742"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","24,172","24,921","22,582","28,838","36,698"
"1. Tiền, vàng gửi tại các TCTD khác","24,172","24,921","22,431","28,838","36,695"
2. Cho vay các TCTD khác,,,152,1,4
3. Dự phòng rủi ro cho vay các TCTD khác,,,-1,0,-1
IV. Chứng khoán kinh doanh,,210,,,
1. Chứng khoán kinh doanh,,345,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,-135,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"34,604","37,086","50,604","61,347","61,856"
1. Cho vay và cho thuê tài chính khách hàng,"34,833","37,447","51,026","61,864","62,358"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-229,-361,-421,-516,-502
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"24,363","22,573","34,789","38,756","32,806"
1. Chứng khoán đầu tư sẵn sàng để bán,"24,363",722,"34,789","38,756","32,806"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,"22,080",,,
3. Dự phòng giảm giá chứng khoán đầu tư,,-230,,,
"VIII. Góp vốn, đầu tư dài hạn","1,309","1,296","1,363","1,339","1,197"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","1,309",149,"1,363","1,339","1,197"
3. Đầu tư dài hạn khác,,"1,265",,,
4. Dự phòng giảm giá đầu tư dài hạn,,-118,,,
IX. Tài sản cố định,783,840,817,847,873
1. Tài sản cố định hữu hình,783,789,817,847,873
a. Nguyên giá TSCĐ,"1,086",789,"1,202","1,269","1,337"
b. Hao mòn TSCĐ,-304,,-386,-423,-465
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,,51,,,
a. Nguyên giá TSCĐ,,51,,,
b. Hao mòn TSCĐ,,,,,
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","17,535","41,871","11,243","33,064","30,184"
1. Các khoản phải thu,"14,114","39,272","8,015","29,289",
"2. Các khoản lãi, phí phải thu","2,439","1,634","2,147","2,684","2,396"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,983,965,"1,080","1,092","27,788"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,,,,
TỔNG CỘNG TÀI SẢN,"114,195","136,562","129,788","169,513","172,113"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,,,"5,622","10,257"
II. Tiền gửi và vay các TCTD khác,"9,693","1,706","2,708","2,236","8,902"
1. Tiền gửi của các TCTD khác,"9,693","1,706","2,708","2,236","8,902"
2. Vay các TCTD khác,,,,,
III. Tiền gửi của khách hàng,"60,735","74,788","90,613","101,023","88,467"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,34,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",299,269,267,265,270
VI. Phát hành giấy tờ có giá,"16,756","15,552","16,913","18,585","26,583"
VII. Các khoản nợ khác,"18,951","36,681","11,706","31,929","27,541"
"1. Các khoản lãi, phí phải trả","18,942",898,"11,467","31,697","27,494"
2. Thuế TNDN hoãn lại phải trả,,"35,768",,,
3. Các khoản phải trả và công nợ khác,9,14,240,232,48
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"106,435","129,029","122,207","159,660","162,020"
VIII. Vốn và các quỹ,"7,761","7,532","7,581","9,853","10,093"
1. Vốn của TCTD,"6,356","6,356","6,356","7,706","7,814"
a. Vốn điều lệ,"6,356","6,356","6,356","7,706","7,814"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,716,668,766,768,966
3. Chênh lệch tỷ giá hối đoái,,10,-36,387,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,689,498,495,992,"1,313"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"114,195","136,562","129,788","169,513","172,113"
