ACB,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Công ty mẹ,Công ty mẹ,Hợp nhất,Công ty mẹ,Công ty mẹ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","9,094","4,927","4,532","10,374","7,484"
II. Tiền gửi tại NHNN,"4,203","5,145","5,182","4,178","6,157"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","17,482","28,612","31,419","21,438","28,540"
"1. Tiền, vàng gửi tại các TCTD khác","17,372","28,448","31,305","21,403","28,540"
2. Cho vay các TCTD khác,111,164,115,37,
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,-1,-2,
IV. Chứng khoán kinh doanh,214,,565,,
1. Chứng khoán kinh doanh,214,,567,,
2. Dự phòng giảm giá chứng khoán kinh doanh,0,,-2,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,,0,"2,500","2,000"
VI. Cho vay khách hàng,"25,148","31,301","40,449","42,004","36,497"
1. Cho vay và cho thuê tài chính khách hàng,"25,266","31,436","40,694","42,271","36,743"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-118,-135,-245,-267,-246
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"4,740","9,148","11,479","12,180","13,282"
1. Chứng khoán đầu tư sẵn sàng để bán,500,"1,674","3,231","12,180","13,282"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"4,240","7,474","8,268",,
3. Dự phòng giảm giá chứng khoán đầu tư,0,,-20,,
"VIII. Góp vốn, đầu tư dài hạn","1,499","1,223",837,688,674
1. Đầu tư vào công ty con,840,940,0,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,196,688,674
3. Đầu tư dài hạn khác,659,283,641,,
4. Dự phòng giảm giá đầu tư dài hạn,0,,0,,
IX. Tài sản cố định,496,540,653,669,698
1. Tài sản cố định hữu hình,457,499,604,669,698
a. Nguyên giá TSCĐ,593,649,604,902,964
b. Hao mòn TSCĐ,-135,-150,0,-233,-266
2. Tài sản cố định thuê tài chính,0,,0,,
a. Nguyên giá TSCĐ,0,,0,,
b. Hao mòn TSCĐ,0,,0,,
3. Tài sản cố định vô hình,39,41,48,,
a. Nguyên giá TSCĐ,59,64,48,,
b. Hao mòn TSCĐ,-20,-23,0,,
X. Bất động sản đầu tư,0,,0,,
a. Nguyên giá BĐSĐT,0,,0,,
b. Hao mòn BĐSĐT,0,,0,,
"XI. Tài sản ""Có"" khác","8,251","6,253","4,292","9,029","15,334"
1. Các khoản phải thu,"7,083","4,933","2,545","6,841","12,826"
"2. Các khoản lãi, phí phải thu","1,092","1,225","1,373","1,812","2,143"
3. Tài sản thuế TNDN hoãn lại,0,,0,,
4. Tài sản Có khác,77,95,373,377,365
- Trong đó: Lợi thế thương mại,0,,0,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,,0,,
TỔNG CỘNG TÀI SẢN,"71,126","87,149","99,409","103,059","110,666"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,56,655,49,"2,097",
II. Tiền gửi và vay các TCTD khác,"7,441","7,456","2,812","6,259","5,617"
1. Tiền gửi của các TCTD khác,"7,226","7,456","2,812","6,259","5,617"
2. Vay các TCTD khác,215,,0,,
III. Tiền gửi của khách hàng,"47,867","55,855","61,958","60,941","64,045"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,1,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",318,323,323,349,319
VI. Phát hành giấy tờ có giá,"8,405","11,689","15,921","17,436","17,882"
VII. Các khoản nợ khác,"2,495","3,238","11,682","8,938","15,456"
"1. Các khoản lãi, phí phải trả",702,789,995,"8,908","15,445"
2. Thuế TNDN hoãn lại phải trả,0,,0,,
3. Các khoản phải trả và công nợ khác,"1,781","2,433","10,658",30,11
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),12,15,29,,
TỔNG NỢ PHẢI TRẢ,"66,582","79,215","92,746","96,020","103,319"
VIII. Vốn và các quỹ,"4,544","7,934","6,663","7,039","7,346"
1. Vốn của TCTD,"2,530","2,630","2,630","2,630","2,630"
a. Vốn điều lệ,"2,530","2,630","2,630","2,630","2,630"
b. Vốn đầu tư XDCB,0,0,0,,
c. Thặng dư vốn cổ phần,0,,0,,
d. Cổ phiếu quỹ,0,,0,,
e. Cổ phiếu ưu đãi,0,,0,,
g. Vốn khác,0,,0,,
2. Quỹ của TCTD,815,"3,527","3,581","3,578","3,576"
3. Chênh lệch tỷ giá hối đoái,4,,3,-75,-64
4. Chênh lệch đánh giá lại tài sản,0,,0,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,195","1,777",450,906,"1,204"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,,0,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"71,126","87,149","99,409","103,059","110,666"
