ACB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,198","3,416","3,541","3,797","4,240"
II. Tiền gửi tại NHNN,"3,011","7,932","5,119","4,325","8,574"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","9,594","5,266","8,152","7,953","8,145"
"1. Tiền, vàng gửi tại các TCTD khác","6,396","2,556","6,443","4,083","4,342"
2. Cho vay các TCTD khác,"3,387","2,885","1,881","4,074","3,975"
3. Dự phòng rủi ro cho vay các TCTD khác,-190,-175,-172,-204,-172
IV. Chứng khoán kinh doanh,957,975,"1,183",520,555
1. Chứng khoán kinh doanh,969,995,"1,211",543,576
2. Dự phòng giảm giá chứng khoán kinh doanh,-12,-20,-28,-23,-21
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,16,31,
VI. Cho vay khách hàng,"154,538","158,002","161,604","175,104","178,989"
1. Cho vay và cho thuê tài chính khách hàng,"156,279","159,802","163,401","177,414","181,614"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,740","-1,800","-1,797","-2,310","-2,625"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"40,079","41,957","42,801","48,530","54,708"
1. Chứng khoán đầu tư sẵn sàng để bán,"6,215","11,233","10,963","12,318","9,161"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"36,590","33,892","34,824","39,269","48,418"
3. Dự phòng giảm giá chứng khoán đầu tư,"-2,726","-3,169","-2,985","-3,058","-2,871"
"VIII. Góp vốn, đầu tư dài hạn",190,190,190,192,189
1. Đầu tư vào công ty con,,,,1,
"2. Đầu tư vào công ty liên doanh, liên kết",2,2,2,0,2
3. Đầu tư dài hạn khác,200,200,200,200,194
4. Dự phòng giảm giá đầu tư dài hạn,-11,-11,-11,-9,-7
IX. Tài sản cố định,"2,524","2,751","2,851","2,903","3,046"
1. Tài sản cố định hữu hình,"2,069","2,289","2,339","2,399","2,500"
a. Nguyên giá TSCĐ,"3,333","3,588","3,682","3,800","3,960"
b. Hao mòn TSCĐ,"-1,264","-1,298","-1,344","-1,401","-1,460"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,455,462,512,504,546
a. Nguyên giá TSCĐ,646,662,723,726,782
b. Hao mòn TSCĐ,-191,-201,-211,-222,-236
X. Bất động sản đầu tư,43,48,209,267,266
a. Nguyên giá BĐSĐT,44,49,210,268,268
b. Hao mòn BĐSĐT,-1,-1,-1,-1,-1
"XI. Tài sản ""Có"" khác","7,692","8,331","8,013","7,915","7,130"
1. Các khoản phải thu,"4,913","5,298","4,558","5,149","4,927"
"2. Các khoản lãi, phí phải thu","2,416","2,722","3,241","2,725","2,660"
3. Tài sản thuế TNDN hoãn lại,2,,,13,8
4. Tài sản Có khác,770,721,732,675,705
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-409,-409,-518,-647,"-1,171"
TỔNG CỘNG TÀI SẢN,"221,826","228,867","233,681","251,537","265,842"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
