ACB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","10,205","7,088","6,906","10,885","12,475"
II. Tiền gửi tại NHNN,"1,944","1,470","1,707","2,914","2,366"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","27,606","27,691","18,964","34,661","55,493"
"1. Tiền, vàng gửi tại các TCTD khác","27,601","27,690","18,963","34,586","55,074"
2. Cho vay các TCTD khác,5,1,0,76,422
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,-1,-3
IV. Chứng khoán kinh doanh,620,0,421,708,"1,133"
1. Chứng khoán kinh doanh,721,0,571,847,"1,352"
2. Dự phòng giảm giá chứng khoán kinh doanh,-100,0,-150,-139,-219
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,10,0,80,656
VI. Cho vay khách hàng,"57,918","71,470","80,233","86,478","90,858"
1. Cho vay và cho thuê tài chính khách hàng,"58,436","72,075","80,907","87,195","91,641"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-518,-605,-673,-717,-782
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"43,119","48,453","55,647","48,591","29,343"
1. Chứng khoán đầu tư sẵn sàng để bán,"2,372","2,092","2,302","2,580",507
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"40,862","46,476","53,512","46,169","28,967"
3. Dự phòng giảm giá chứng khoán đầu tư,-115,-114,-167,-159,-131
"VIII. Góp vốn, đầu tư dài hạn","1,287","2,907","2,449","2,691","2,908"
1. Đầu tư vào công ty con,0,"2,040",0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",1,0,1,1,1
3. Đầu tư dài hạn khác,"1,307",867,"2,474","2,723","2,939"
4. Dự phòng giảm giá đầu tư dài hạn,-21,0,-26,-33,-33
IX. Tài sản cố định,935,872,"1,020","1,055","1,097"
1. Tài sản cố định hữu hình,885,827,978,"1,015","1,059"
a. Nguyên giá TSCĐ,885,827,978,"1,015","1,059"
b. Hao mòn TSCĐ,0,0,0,0,0
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,50,45,42,40,38
a. Nguyên giá TSCĐ,50,45,42,40,38
b. Hao mòn TSCĐ,0,0,0,0,0
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","29,008","14,783","10,596","17,738","10,515"
1. Các khoản phải thu,0,"2,229","4,173","4,238",0
"2. Các khoản lãi, phí phải thu","2,090",0,0,0,"3,495"
3. Tài sản thuế TNDN hoãn lại,5,0,6,6,5
4. Tài sản Có khác,"26,912","12,553","6,416","13,494","7,014"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,0,0
TỔNG CỘNG TÀI SẢN,"172,641","174,743","177,944","205,802","206,844"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"9,390","9,898","10,458","9,452","4,720"
II. Tiền gửi và vay các TCTD khác,"11,332","21,241","17,176","28,130","34,466"
1. Tiền gửi của các TCTD khác,"11,332","21,241","17,176","28,130","34,466"
2. Vay các TCTD khác,0,0,0,0,0
III. Tiền gửi của khách hàng,"89,999","99,075","106,787","106,937","110,296"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,38,0,676,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",282,277,315,380,487
VI. Phát hành giấy tờ có giá,"28,067","24,936","28,871","38,234","40,633"
VII. Các khoản nợ khác,"24,190","9,621","3,281","11,288","4,275"
"1. Các khoản lãi, phí phải trả","1,138","1,296","1,530","1,582","1,690"
2. Thuế TNDN hoãn lại phải trả,0,0,0,757,"2,543"
3. Các khoản phải trả và công nợ khác,"23,029","8,300","1,718","8,910",0
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),23,26,33,39,42
TỔNG NỢ PHẢI TRẢ,"163,299","165,048","167,565","194,421","194,876"
VIII. Vốn và các quỹ,"9,343","9,695","10,379","11,381","11,968"
