FPT,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,0,0,,,
12. Dự phòng phải trả dài hạn,8,7,8,8,8
13. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"14,763","15,533","15,805","16,251","16,875"
I. Vốn chủ sở hữu,"14,760","15,530","15,803","16,248","16,872"
1. Vốn góp của chủ sở hữu,"6,136","6,136","6,784","6,784","6,784"
- Cổ phiếu phổ thông có quyền biểu quyết,"6,136","6,136","6,784","6,784","6,784"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,49,49,49,49,76
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,667,670,787,778,781
5. Cổ phiếu quỹ (*),-1,-1,-1,-1,-1
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,6,5,16,9,-12
8. Quỹ đầu tư phát triển,224,226,221,222,308
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,87,87,87,87,103
11. Lợi nhuận sau thuế chưa phân phối,"5,290","5,912","5,367","5,649","5,999"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"3,515","5,286","3,949","3,949","2,766"
- LNST chưa phân phối kỳ này,"1,774",626,"1,418","1,700","3,233"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"2,302","2,444","2,492","2,671","2,835"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,3,3,3,3,3
1. Nguồn kinh phí,3,3,3,3,3
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"29,726","28,748","30,376","32,277","33,659"
