FPT,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"4,743","4,531","4,906","5,811","8,103"
I. Tiền và các khoản tương đương tiền,"1,246",906,939,"1,647","2,312"
1. Tiền,"1,246",906,909,"1,398","1,717"
2. Các khoản tương đương tiền,0,0,30,249,595
II.  Đầu tư tài chính ngắn hạn,3,6,0,161,618
1. Chứng khoán kinh doanh,3,6,0,161,618
2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,0,0,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"2,015","1,922","2,000","2,102","2,845"
1. Phải thu ngắn hạn của khách hàng,"1,533","1,922","1,357","1,279","1,895"
2. Trả trước cho người bán ngắn hạn,278,0,442,616,685
3. Phải thu nội bộ ngắn hạn,3,0,10,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,112,0,106,106,98
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,103,0,98,114,189
7. Dự phòng phải thu ngắn hạn khó đòi (*),-14,0,-13,-13,-22
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"1,278","1,429","1,637","1,625","1,560"
1. Hàng tồn kho,"1,285","1,429","1,643","1,651","1,569"
2. Dự phòng giảm giá hàng tồn kho (*),-7,0,-6,-26,-9
V. Tài sản ngắn hạn khác,202,267,330,277,769
1. Chi phí trả trước ngắn hạn,40,267,68,42,94
2. Thuế GTGT được khấu trừ,143,0,187,194,209
3. Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,12
4. Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,18,0,75,40,453
B. TÀI SẢN DÀI HẠN,"1,402","1,436","1,502","1,654","2,542"
I. Các khoản phải thu dài hạn,6,5,0,0,1
1. Phải thu dài hạn của khách hàng,0,5,0,0,0
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu nội bộ dài hạn,0,0,0,0,0
