LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"3,365","3,171","4,239","3,204","2,558"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,747,703,608,821,595
Các khoản dự phòng,65,2,897,521,689
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-24,14,16,1,-30
"Lãi, lỗ từ hoạt động đầu tư",-230,-436,-407,-315,-347
Chi phí lãi vay,110,108,84,69,57
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"4,032","3,563","5,438","4,301","3,524"
"Tăng, giảm các khoản phải thu",-639,"-3,619","-3,444","2,984",-470
"Tăng, giảm hàng tồn kho","-1,591","1,412",-236,410,"-2,249"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","2,686",886,"2,485","-4,033","1,593"
"Tăng, giảm chi phí trả trước",95,-112,21,-60,-29
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-280,-20,-165,-39,-110
Thuế thu nhập doanh nghiệp đã nộp,-747,-337,-846,-815,-634
Tiền thu khác từ hoạt động kinh doanh,67,65,-65,,
Tiền chi khác cho hoạt động kinh doanh,150,-199,40,-253,50
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,774","1,637","3,228","2,496","1,674"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-847,-46,-838,-369,-672
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-12,729","-9,694","-12,279","-17,159","39,131"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","6,622","8,406","12,287","20,724","-41,418"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",224,299,449,677,376
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,"7,592"
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-6,730","-1,034",-380,"3,873","5,010"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"2,008",25,"1,672",68,97
4. Tiền trả nợ gốc vay,"-2,335",-214,"-3,056",-903,-430
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-1,901",-13,13,"-1,000","-12,872"
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,229",-202,"-1,371","-1,835","-13,205"
Lưu chuyển tiền thuần trong kỳ,"-5,184",401,"1,477","4,534","-6,521"
Tiền và tương đương tiền đầu kỳ,"10,852","5,669","6,075","7,555","12,083"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,2,5,3,-7,6
Tiền và tương đương tiền cuối kỳ,"5,669","6,075","7,555","12,083","5,568"
