LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,933","3,084","2,551","4,381","6,401"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,837,812,633,762,693
Các khoản dự phòng,243,-45,541,175,16
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-10,-15,-97,-25,79
"Lãi, lỗ từ hoạt động đầu tư",-166,-414,-268,-218,-361
Chi phí lãi vay,70,81,100,82,91
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,907","3,503","3,460","5,157","6,919"
"Tăng, giảm các khoản phải thu","-2,053",596,"-2,955","-3,611",-428
"Tăng, giảm hàng tồn kho",-43,-307,-947,"1,104",3
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","2,590",-883,"4,319","1,762","-1,027"
"Tăng, giảm chi phí trả trước",-588,-733,"-1,394",-596,-294
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-49,-77,-92,-108,-112
Thuế thu nhập doanh nghiệp đã nộp,-541,-638,-635,-492,-884
Tiền thu khác từ hoạt động kinh doanh,-70,-12,-7,104,-104
Tiền chi khác cho hoạt động kinh doanh,21,-47,-104,-126,4
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,174","1,402","1,644","3,193","4,076"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-1,135",-658,"-1,142",-441,-692
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,-29,-978,978
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-6,807","-14,558","-9,726","-7,848","-17,074"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","2,849","16,637","8,498","8,124","13,782"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",15,508,216,144,318
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-5,079","1,930","-2,184",-999,"-2,687"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,26
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"1,908","2,313",602,619,28
4. Tiền trả nợ gốc vay,-511,-38,-451,-2,-498
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,"-5,558",-307,,-5
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"1,397","-3,283",-156,616,-450
Lưu chuyển tiền thuần trong kỳ,-508,49,-695,"2,810",939
Tiền và tương đương tiền đầu kỳ,"6,458","5,948","5,994","5,833","8,648"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-2,-2,2,5,-1
Tiền và tương đương tiền cuối kỳ,"5,948","5,994","5,300","8,648","9,055"
