LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"3,371","3,374","3,002","1,451","1,951"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,927,804,577,800,731
Các khoản dự phòng,210,-186,-39,24,-16
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",26,30,90,4,-34
"Lãi, lỗ từ hoạt động đầu tư",-128,-185,-158,-371,-557
Chi phí lãi vay,67,38,35,52,72
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"4,473","3,874","3,507","1,961","2,148"
"Tăng, giảm các khoản phải thu",734,216,"1,416","-5,310",-567
"Tăng, giảm hàng tồn kho",767,-503,616,-248,-153
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","-1,520",782,"-1,991","4,186",-4
"Tăng, giảm chi phí trả trước",105,-23,37,-118,-49
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-64,-63,-62,6,-77
Thuế thu nhập doanh nghiệp đã nộp,"-1,293",-708,-716,-613,-313
Tiền thu khác từ hoạt động kinh doanh,519,225,211,-955,150
Tiền chi khác cho hoạt động kinh doanh,-170,"-1,825",847,829,-175
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,551","1,974","3,865",-263,961
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-434,-977,"-2,564",-762,-983
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,1,,1,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-313,"-2,687","-1,977",-9,-54
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,267,-169,129,169
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,-545
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,97,62,-102,141,219
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",276,261,298,202,290
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-375,"-3,073","-4,515",-296,-904
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,379
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",-40,,,,
3. Tiền thu từ đi vay,"1,128",643,"1,434",919,"2,849"
4. Tiền trả nợ gốc vay,"-1,492","-2,306","-1,017",-910,"-1,840"
5. Tiền trả nợ gốc thuê tài chính,,-60,-102,123,-20
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-2,323","-1,302",-209,"-1,685","-1,481"
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,728","-3,025",106,"-1,553",-112
Lưu chuyển tiền thuần trong kỳ,448,"-4,124",-544,"-2,112",-56
Tiền và tương đương tiền đầu kỳ,"24,080","24,528","20,405","19,799","18,030"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1,-62,61,5
Tiền và tương đương tiền cuối kỳ,"24,528","20,405","19,799","17,748","17,979"
