LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"3,259","3,817","3,812","3,688","3,751"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,845,687,687,668,649
Các khoản dự phòng,-176,3,416,-15,432
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,-3,4,-13,-6
"Lãi, lỗ từ hoạt động đầu tư",-246,-380,-278,-581,-346
Chi phí lãi vay,107,59,54,44,40
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,3,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,793","4,183","4,695","3,793","4,520"
"Tăng, giảm các khoản phải thu",-574,"-1,447",446,-571,870
"Tăng, giảm hàng tồn kho",-577,368,62,-262,109
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-524,963,628,-473,"-1,520"
"Tăng, giảm chi phí trả trước",-51,-49,-91,8,-11
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-125,-84,-97,-6,-88
Thuế thu nhập doanh nghiệp đã nộp,-787,-816,-582,-714,-740
Tiền thu khác từ hoạt động kinh doanh,-16,22,-22,98,-98
Tiền chi khác cho hoạt động kinh doanh,-238,-32,-124,10,-268
Lưu chuyển tiền thuần từ hoạt động kinh doanh,901,"3,108","4,915","1,883","2,775"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-15,-229,-133,-682,"-1,646"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",19,1,-1,2,-1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-4,379","-3,510","-8,920","-6,216","-18,705"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3,861","5,250","4,763","7,660","16,357"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,70,,,-88,88
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,1,23,-23,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",212,436,267,483,100
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-229,"1,971","-4,047","1,160","-3,807"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,564,575,567,608,595
4. Tiền trả nợ gốc vay,"-2,017","-1,469","-1,119",-535,"-1,172"
5. Tiền trả nợ gốc thuê tài chính,-4,-3,-3,-3,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",188,"-3,300",-528,"-4,554",152
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-1,268","-4,196","-1,082","-4,484",-425
Lưu chuyển tiền thuần trong kỳ,-597,884,-214,"-1,442","-1,457"
Tiền và tương đương tiền đầu kỳ,"7,303","6,706","7,589","7,375","5,933"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,-1,
Tiền và tương đương tiền cuối kỳ,"6,706","7,589","7,375","5,933","4,476"
