LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"3,633","3,553","4,504","4,759","4,520"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,525","-1,971","-1,871","-2,341","-1,975"
3. Thu nhập từ hoạt động dịch vụ nhận được,161,180,223,233,428
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",-253,421,-148,-122,207
5. Thu nhập khác,-274,-543,-319,-455,-442
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",132,150,119,123,186
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-383,-318,-990,-834,-669
8. Tiền thuế thu nhập thực nộp trong kỳ,-174,-192,-351,-63,-225
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"1,318","1,280","1,167","1,300","2,031"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","2,808","1,843","-1,353","4,106","5,989"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"2,092","3,408","-6,426","-1,750",369
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-10,39,-53,35,-15
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-17,067","-4,156","-5,052",-643,"-21,297"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-423,-190,-912,,"-1,225"
14. (Tăng)/Giảm khác về tài sản hoạt động,741,"1,257","-2,646",-219,"-1,212"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,,,,"1,034",404
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",-840,"2,587","6,707","5,643","2,284"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"9,975","-3,702","8,024","-12,402","20,900"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),-246,99,-3,256,136
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",16,-22,-31,-21,22
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,1,-1,,
21. Tăng/(Giảm) khác về công nợ hoạt động,320,973,520,-201,"1,090"
22. Chi từ các quỹ của TCTD,-27,-30,-80,-38,-8
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-1,344","3,387",-138,"-2,901","9,468"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-24,-746,347,-141,-214
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",-315,310,-48,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,-1
4. Mua sắm bất động sản đầu tư,29,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,15,-15,1,-1
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,-92,-135
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",140,-278,463,,1
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",51,31,-25,5,27
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-118,-669,723,-227,-323
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,-421,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",-2,-1,-18,"-1,032",-4
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,-423,-1,-18,"-1,032",-4
IV- Lưu chuyển tiền thuần trong kỳ,"-1,885","2,718",566,"-4,159","9,141"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,,"22,849",
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"-1,885","2,718",566,"18,690","9,141"
