STB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,697","7,741","6,598","7,495","7,225"
2. Chi phí lãi và các chi phí tương tự,"4,549","4,428","4,103","4,756","4,623"
I. Thu nhập lãi thuần,"3,148","3,313","2,495","2,739","2,602"
3. Thu nhập từ hoạt động dịch vụ,"1,478","1,062","2,554","2,110","2,399"
4. Chi phí hoạt động dịch vụ,542,472,575,575,659
II. Lãi/lỗ thuần từ hoạt động dịch vụ,936,590,"1,979","1,536","1,741"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,168,150,212,298,242
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,17,69,44,-2,4
5. Thu nhập từ hoạt động khác,499,149,133,564,"1,560"
6. Chi phí hoạt động khác,24,109,248,18,20
VI. Lãi/lỗ thuần từ hoạt động khác,475,39,-115,546,"1,540"
"VII. Thu nhập từ góp vốn, mua cổ phần",2,38,0,9,1
VIII. Chi phí hoạt động,"2,336","2,424","2,400","2,832","2,606"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,410","1,775","2,215","2,293","3,523"
X. Chi phí dự phòng rủi ro tín dụng,986,950,"1,064",705,"2,204"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,424",825,"1,151","1,589","1,319"
7. Chi phí thuế TNDN hiện hành,311,185,245,315,515
8. Chi phí thuế TNDN hoãn lại,,,48,,
XII. Chi phí thuế TNDN,311,185,293,315,515
XIII. Lợi nhuận sau thuế (XI-XII),"1,113",640,858,"1,274",804
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,113",640,858,"1,274",804
Lãi cơ bản trên cổ phiếu (BCTC),,,,"2,086",
