STB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,950","3,865","3,964","4,166","4,522"
2. Chi phí lãi và các chi phí tương tự,"2,010","2,012","2,056","3,252","3,283"
I. Thu nhập lãi thuần,"1,940","1,854","1,908",914,"1,239"
3. Thu nhập từ hoạt động dịch vụ,374,420,455,491,473
4. Chi phí hoạt động dịch vụ,127,146,156,140,160
II. Lãi/lỗ thuần từ hoạt động dịch vụ,247,275,299,351,313
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,43,75,70,-29,63
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-4,0,-1,16,-2
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,6,-2,-8,-57,6
5. Thu nhập từ hoạt động khác,30,33,10,505,93
6. Chi phí hoạt động khác,21,10,-15,15,3
VI. Lãi/lỗ thuần từ hoạt động khác,9,23,24,490,91
"VII. Thu nhập từ góp vốn, mua cổ phần",4,19,2,-3,4
VIII. Chi phí hoạt động,"1,102","1,163","1,373","1,225","1,465"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,144","1,080",921,457,249
X. Chi phí dự phòng rủi ro tín dụng,332,366,306,"1,129",50
XI. Tổng lợi nhuận trước thuế (IX-X),812,713,615,-671,199
7. Chi phí thuế TNDN hiện hành,175,170,127,-151,37
8. Chi phí thuế TNDN hoãn lại,,,,1,
XII. Chi phí thuế TNDN,175,170,127,-150,37
XIII. Lợi nhuận sau thuế (XI-XII),637,543,488,-521,162
XIV. Lợi ích của cổ đông thiểu số,0,0,0,0,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),637,543,488,-521,162
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
