STB,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Công ty mẹ,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,143","3,335","5,681","8,089","5,092"
II. Tiền gửi tại NHNN,"3,439","3,827","1,604","3,805","5,012"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","5,608","4,305","6,617","4,438","5,211"
"1. Tiền, vàng gửi tại các TCTD khác","5,608","4,304","6,583","4,403","5,181"
2. Cho vay các TCTD khác,1,34,35,30,
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,,
IV. Chứng khoán kinh doanh,"1,879","13,054","4,823","4,234","3,675"
1. Chứng khoán kinh doanh,"1,879","13,054","4,900","4,305","3,692"
2. Dự phòng giảm giá chứng khoán kinh doanh,-77,-71,-16,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,19,26,84,,
VI. Cho vay khách hàng,"24,184","34,139","42,345","38,934","32,753"
1. Cho vay và cho thuê tài chính khách hàng,"24,324","34,316","42,552","39,177","33,000"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-140,-177,-207,-243,-247
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"6,654","9,867","9,566","9,205",
1. Chứng khoán đầu tư sẵn sàng để bán,"4,751","8,081","8,287","8,105",
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,904","1,828","1,360","1,205",
3. Dự phòng giảm giá chứng khoán đầu tư,-42,-81,-105,,
"VIII. Góp vốn, đầu tư dài hạn","1,798","2,144","1,550","1,569","1,560"
1. Đầu tư vào công ty con,"1,344",,,,
"2. Đầu tư vào công ty liên doanh, liên kết",51,"2,144",164,147,148
3. Đầu tư dài hạn khác,403,"1,386","1,421","1,412",
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,907,"1,005","1,221","1,503","1,600"
1. Tài sản cố định hữu hình,504,"1,003",676,778,854
a. Nguyên giá TSCĐ,606,"1,139",800,914,991
b. Hao mòn TSCĐ,-103,-135,-124,-135,-137
2. Tài sản cố định thuê tài chính,19,24,25,25,
a. Nguyên giá TSCĐ,21,28,30,30,
b. Hao mòn TSCĐ,-2,-4,-4,-5,
3. Tài sản cố định vô hình,384,2,520,699,721
a. Nguyên giá TSCĐ,402,2,545,727,754
b. Hao mòn TSCĐ,-18,-25,-28,-32,
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","1,958","1,676","2,552","3,235","2,400"
1. Các khoản phải thu,"1,189",580,"1,365","2,027","1,221"
"2. Các khoản lãi, phí phải thu",502,691,757,781,774
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,267,405,430,427,405
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,,,,
TỔNG CỘNG TÀI SẢN,"49,589","63,484","76,286","75,372","66,592"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,146,"1,633",330,,
II. Tiền gửi và vay các TCTD khác,"1,870","4,849","5,174","5,791","2,318"
1. Tiền gửi của các TCTD khác,"1,854","4,085","4,311","2,594",794
2. Vay các TCTD khác,17,765,862,"3,197","1,524"
III. Tiền gửi của khách hàng,"34,936","44,027","52,598","48,292","45,716"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,119,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",475,"1,003","1,055","1,052","1,045"
VI. Phát hành giấy tờ có giá,"3,571","4,897","7,281","7,663","7,776"
VII. Các khoản nợ khác,"1,961","1,527","3,175","3,695","1,437"
"1. Các khoản lãi, phí phải trả",497,744,645,628,860
2. Thuế TNDN hoãn lại phải trả,586,,,,
3. Các khoản phải trả và công nợ khác,"1,444",197,"2,501","3,044",554
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),20,29,23,23,
TỔNG NỢ PHẢI TRẢ,"42,813","56,304","69,430","68,245","58,622"
VIII. Vốn và các quỹ,"6,776","7,181","6,856","7,127","7,970"
1. Vốn của TCTD,"5,662","5,662","5,662","5,662","6,330"
a. Vốn điều lệ,"4,449","4,449","4,449","4,449","5,116"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,"1,213","1,213","1,213","1,213","1,213"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,206,202,650,643,636
3. Chênh lệch tỷ giá hối đoái,-22,-18,-15,-5,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,930,"1,316",562,836,"1,009"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"49,589","63,484","76,286","75,372","66,592"
