STB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","9,651","11,316","9,307","12,864","14,348"
II. Tiền gửi tại NHNN,"2,614","2,371","3,406","3,619","2,228"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","13,303","7,041","16,926","21,153","16,169"
"1. Tiền, vàng gửi tại các TCTD khác","12,980","6,842","16,848","21,027","16,016"
2. Cho vay các TCTD khác,326,201,79,127,155
3. Dự phòng rủi ro cho vay các TCTD khác,-3,-2,0,-1,-1
IV. Chứng khoán kinh doanh,705,"1,235","2,070","1,878","2,634"
1. Chứng khoán kinh doanh,842,"1,412","2,225","2,080","2,874"
2. Dự phòng giảm giá chứng khoán kinh doanh,-137,-176,-156,-202,-240
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,241,15,0,7,26
VI. Cho vay khách hàng,"61,783","73,676","78,118","82,088","82,193"
1. Cho vay và cho thuê tài chính khách hàng,"62,308","74,298","78,765","82,916","83,181"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-525,-621,-647,-828,-988
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"10,971","13,173","14,895","21,116","20,290"
1. Chứng khoán đầu tư sẵn sàng để bán,"9,967","12,004","13,410","19,119","19,236"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,040","1,178","1,499","2,008","1,071"
3. Dự phòng giảm giá chứng khoán đầu tư,-36,-10,-15,-10,-16
"VIII. Góp vốn, đầu tư dài hạn",706,757,740,"1,066",647
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",84,137,136,0,0
