STB,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","8,459","6,010","6,046","8,158","8,513"
II. Tiền gửi tại NHNN,"3,225","3,303","2,498","2,736","2,634"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","7,109","9,137","9,583","12,729","15,123"
"1. Tiền, vàng gửi tại các TCTD khác","7,078","9,107","9,386","12,398","14,923"
2. Cho vay các TCTD khác,31,30,197,333,201
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,-1,-2
IV. Chứng khoán kinh doanh,747,375,435,0,848
1. Chứng khoán kinh doanh,799,465,459,0,959
2. Dự phòng giảm giá chứng khoán kinh doanh,-51,-90,-24,0,-111
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,7,0,0,0,609
VI. Cho vay khách hàng,"34,535","40,485","48,841","56,411","59,315"
1. Cho vay và cho thuê tài chính khách hàng,"34,786","40,759","49,199","56,829","59,831"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-252,-274,-358,-418,-516
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"9,346","9,324","9,603","10,127","9,757"
1. Chứng khoán đầu tư sẵn sàng để bán,"8,575","8,584","8,818","10,127","9,425"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,915,892,806,0,370
3. Dự phòng giảm giá chứng khoán đầu tư,-144,-153,-20,0,-38
"VIII. Góp vốn, đầu tư dài hạn",789,"1,147","1,119",836,587
1. Đầu tư vào công ty con,0,0,0,0,
"2. Đầu tư vào công ty liên doanh, liên kết",157,135,87,836,85
3. Đầu tư dài hạn khác,634,"1,062","1,093",0,512
4. Dự phòng giảm giá đầu tư dài hạn,-1,-50,-61,0,-9
IX. Tài sản cố định,"1,696","1,840","2,158","2,346","2,481"
1. Tài sản cố định hữu hình,912,975,"1,191","2,342","1,365"
a. Nguyên giá TSCĐ,"1,069","1,152","1,386","2,630","1,614"
