STB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","7,316","7,944","5,873","7,728","7,041"
II. Tiền gửi tại NHNN,"8,053","8,252","8,954","7,934","8,186"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","3,421","2,336","2,498","2,023","3,039"
"1. Tiền, vàng gửi tại các TCTD khác","3,421","2,336","2,498","2,023","2,623"
2. Cho vay các TCTD khác,1,1,1,1,417
3. Dự phòng rủi ro cho vay các TCTD khác,-1,-1,-1,-1,-1
IV. Chứng khoán kinh doanh,"1,296",94,90,96,98
1. Chứng khoán kinh doanh,"1,325",120,106,106,99
2. Dự phòng giảm giá chứng khoán kinh doanh,-29,-26,-16,-10,-1
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,15,25,,,
VI. Cho vay khách hàng,"196,428","192,650","196,423","203,969","216,091"
1. Cho vay và cho thuê tài chính khách hàng,"199,146","195,105","198,860","206,390","218,542"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,718","-2,455","-2,437","-2,421","-2,451"
VII. Hoạt động mua nợ,752,726,702,,
1. Mua nợ,758,732,708,,
2. Dự phòng rủi ro hoạt động mua nợ,-6,-6,-6,,
VII. Chứng khoán đầu tư,"43,110","56,055","65,035","69,959","70,007"
1. Chứng khoán đầu tư sẵn sàng để bán,"26,692","27,708","27,589","30,126","29,879"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"18,244","30,161","39,292","41,648","41,959"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,827","-1,813","-1,847","-1,816","-1,831"
"VIII. Góp vốn, đầu tư dài hạn",297,297,298,271,551
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,442,442,442,442,881
4. Dự phòng giảm giá đầu tư dài hạn,-145,-145,-144,-171,-330
IX. Tài sản cố định,"8,041","8,039","7,949","7,964","8,023"
1. Tài sản cố định hữu hình,"4,502","4,510","4,504","4,487","4,480"
a. Nguyên giá TSCĐ,"6,691","6,781","6,857","6,923","7,001"
b. Hao mòn TSCĐ,"-2,190","-2,271","-2,353","-2,435","-2,521"
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,1,,,,
b. Hao mòn TSCĐ,-1,,,,
3. Tài sản cố định vô hình,"3,539","3,529","3,446","3,477","3,543"
a. Nguyên giá TSCĐ,"4,241","4,255","4,197","4,253","4,343"
b. Hao mòn TSCĐ,-702,-726,-751,-776,-800
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","44,413","44,388","45,408","43,739","42,211"
1. Các khoản phải thu,"17,188","16,917","17,352","16,039","35,675"
"2. Các khoản lãi, phí phải thu","25,814","26,073","26,389","26,009","4,752"
3. Tài sản thuế TNDN hoãn lại,61,61,48,7,60
4. Tài sản Có khác,"1,667","1,712","2,172","2,144","2,166"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-317,-374,-553,-461,-442
TỔNG CỘNG TÀI SẢN,"312,375","320,056","333,295","344,409","355,973"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
