STB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"13,694","12,485","12,382","12,521","12,601"
2. Chi phí lãi và các chi phí tương tự,"8,061","6,534","6,265","6,156","6,501"
I. Thu nhập lãi thuần,"5,633","5,951","6,117","6,365","6,099"
3. Thu nhập từ hoạt động dịch vụ,"1,432","1,357","1,504","1,535","1,725"
4. Chi phí hoạt động dịch vụ,846,779,823,779,762
II. Lãi/lỗ thuần từ hoạt động dịch vụ,586,578,681,756,964
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,297,308,306,218,275
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-10,22,17,6,10
5. Thu nhập từ hoạt động khác,265,70,71,59,170
6. Chi phí hoạt động khác,64,53,36,169,109
VI. Lãi/lỗ thuần từ hoạt động khác,201,16,34,-111,61
"VII. Thu nhập từ góp vốn, mua cổ phần",1,,,4,1
VIII. Chi phí hoạt động,"3,410","3,543","4,001","3,287","3,151"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,299","3,332","3,153","3,950","4,259"
X. Chi phí dự phòng rủi ro tín dụng,544,678,465,"1,199",-367
XI. Tổng lợi nhuận trước thuế (IX-X),"2,755","2,654","2,688","2,752","4,626"
7. Chi phí thuế TNDN hiện hành,635,543,511,551,"1,183"
8. Chi phí thuế TNDN hoãn lại,-140,,,,-155
XII. Chi phí thuế TNDN,496,543,511,551,"1,028"
XIII. Lợi nhuận sau thuế (XI-XII),"2,259","2,111","2,177","2,201","3,598"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,259","2,111","2,177","2,201","3,598"
Lãi cơ bản trên cổ phiếu (BCTC),,"4,206",,,
