STB,Q2/2006,Q3/2006,Q4/2006,Q1/2007,Q2/2007
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,290","1,963","2,827","3,500","3,621"
II. Tiền gửi tại NHNN,448,499,993,746,"2,419"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","12,094","15,087","16,429","5,361","7,807"
"1. Tiền, vàng gửi tại các TCTD khác","1,459","2,920","1,971","5,311","7,807"
2. Cho vay các TCTD khác,"10,694","12,232","14,539",50,
3. Dự phòng rủi ro cho vay các TCTD khác,-59,-66,-81,0,
IV. Chứng khoán kinh doanh,"2,025","2,152","2,081","1,975","2,010"
1. Chứng khoán kinh doanh,"2,025","2,152","2,081","1,975","2,010"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"17,152","19,055",,,
1. Cho vay và cho thuê tài chính khách hàng,"17,251","19,181",,,
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-99,-126,,,
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,,,,,
1. Chứng khoán đầu tư sẵn sàng để bán,,,,,
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,,
3. Dự phòng giảm giá chứng khoán đầu tư,,,,,
"VIII. Góp vốn, đầu tư dài hạn",741,693,987,958,"1,141"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",741,693,987,958,"1,141"
3. Đầu tư dài hạn khác,,,,,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,505,543,699,713,766
1. Tài sản cố định hữu hình,505,543,698,712,765
a. Nguyên giá TSCĐ,579,625,791,812,874
b. Hao mòn TSCĐ,-74,-82,-92,-101,-110
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,1,1,1,1,1
a. Nguyên giá TSCĐ,1,1,1,1,1
b. Hao mòn TSCĐ,,,,,
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác",751,"1,138",838,"1,569","1,572"
1. Các khoản phải thu,429,770,464,472,768
"2. Các khoản lãi, phí phải thu",197,221,268,315,308
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,134,156,119,797,496
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-9,-9,-12,-15,
TỔNG CỘNG TÀI SẢN,"18,853","22,075","24,855","31,973","38,391"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,129,,,,
II. Tiền gửi và vay các TCTD khác,970,690,938,"1,855","3,044"
1. Tiền gửi của các TCTD khác,970,517,815,"1,837","3,027"
2. Vay các TCTD khác,173,123,18,17,
III. Tiền gửi của khách hàng,"12,865","15,518","17,658","23,222","26,393"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",173,169,375,397,443
VI. Phát hành giấy tờ có giá,"1,607","2,215","2,529","2,500","3,946"
VII. Các khoản nợ khác,550,670,552,847,"1,279"
"1. Các khoản lãi, phí phải trả",346,419,268,625,711
2. Thuế TNDN hoãn lại phải trả,193,235,271,395,
3. Các khoản phải trả và công nợ khác,12,16,13,222,174
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"16,165","19,262","22,052","28,951","35,105"
VIII. Vốn và các quỹ,"2,689","2,813","2,804","3,022","3,286"
1. Vốn của TCTD,"1,900","1,900","2,090","2,249","2,499"
a. Vốn điều lệ,"1,899","1,899","2,089","2,089","2,340"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,0,0,0,159,159
2. Quỹ của TCTD,501,498,305,218,213
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,287,414,408,556,573
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"18,853","22,075","24,855","31,973","38,391"
