STB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"10,634","12,037","13,908","14,674","13,651"
2. Chi phí lãi và các chi phí tương tự,"4,872","5,994","8,071","8,923","8,800"
I. Thu nhập lãi thuần,"5,762","6,043","5,837","5,751","4,851"
3. Thu nhập từ hoạt động dịch vụ,"1,870","1,951","1,529","1,613","1,562"
4. Chi phí hoạt động dịch vụ,838,"1,064",871,959,843
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,031",886,658,654,720
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,220,303,258,245,300
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-2,-20,6,21,16
5. Thu nhập từ hoạt động khác,67,684,50,84,46
6. Chi phí hoạt động khác,26,65,21,18,16
VI. Lãi/lỗ thuần từ hoạt động khác,41,619,29,66,30
"VII. Thu nhập từ góp vốn, mua cổ phần",3,0,12,0,10
VIII. Chi phí hoạt động,"3,097","2,646","3,416","3,049","3,015"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,957","5,187","3,384","3,688","2,912"
X. Chi phí dự phòng rủi ro tín dụng,"2,425","3,288","1,002","1,316",827
XI. Tổng lợi nhuận trước thuế (IX-X),"1,532","1,899","2,383","2,373","2,085"
7. Chi phí thuế TNDN hiện hành,320,18,483,447,451
8. Chi phí thuế TNDN hoãn lại,,130,,,
XII. Chi phí thuế TNDN,320,148,483,447,451
XIII. Lợi nhuận sau thuế (XI-XII),"1,212","1,751","1,900","1,925","1,635"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,212","1,751","1,900","1,925","1,635"
Lãi cơ bản trên cổ phiếu (BCTC),,,"3,006",,
