STB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,852","6,030","6,046","6,385","6,910"
2. Chi phí lãi và các chi phí tương tự,"4,156","4,510","4,374","4,604","4,840"
I. Thu nhập lãi thuần,"1,696","1,520","1,672","1,782","2,070"
3. Thu nhập từ hoạt động dịch vụ,664,"1,564",752,831,899
4. Chi phí hoạt động dịch vụ,208,235,208,242,273
II. Lãi/lỗ thuần từ hoạt động dịch vụ,456,"1,330",544,589,626
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,93,22,54,105,154
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,6,,-2,2,3
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,2,28,20,32,-1
5. Thu nhập từ hoạt động khác,86,152,57,173,93
6. Chi phí hoạt động khác,3,2,2,14,2
VI. Lãi/lỗ thuần từ hoạt động khác,84,150,55,159,92
"VII. Thu nhập từ góp vốn, mua cổ phần",-99,0,,1,1
VIII. Chi phí hoạt động,"1,648","1,965","1,759","1,744","1,963"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),589,"1,084",585,926,983
X. Chi phí dự phòng rủi ro tín dụng,139,621,81,433,664
XI. Tổng lợi nhuận trước thuế (IX-X),450,463,504,492,318
7. Chi phí thuế TNDN hiện hành,143,73,107,120,155
8. Chi phí thuế TNDN hoãn lại,,-12,,1,
XII. Chi phí thuế TNDN,143,61,107,121,155
XIII. Lợi nhuận sau thuế (XI-XII),307,402,397,371,163
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),307,402,397,371,163
Lãi cơ bản trên cổ phiếu (BCTC),,,758,,
