STB,Q2/2006,Q3/2006,Q4/2006,Q1/2007,Q2/2007
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,370,427,523,639,
2. Chi phí lãi và các chi phí tương tự,223,261,305,380,
I. Thu nhập lãi thuần,147,166,218,260,
3. Thu nhập từ hoạt động dịch vụ,,,,,
4. Chi phí hoạt động dịch vụ,,,,,
II. Lãi/lỗ thuần từ hoạt động dịch vụ,,,,,
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,,,,,
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,,,
5. Thu nhập từ hoạt động khác,160,97,166,226,"1,067"
6. Chi phí hoạt động khác,126,41,128,74,758
VI. Lãi/lỗ thuần từ hoạt động khác,34,56,38,152,309
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,,96,126,109,
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),181,127,130,303,309
X. Chi phí dự phòng rủi ro tín dụng,,,,,
XI. Tổng lợi nhuận trước thuế (IX-X),181,127,130,303,309
7. Chi phí thuế TNDN hiện hành,51,36,36,35,40
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,51,36,36,35,40
XIII. Lợi nhuận sau thuế (XI-XII),131,91,93,268,269
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),131,91,93,268,269
Lãi cơ bản trên cổ phiếu (BCTC),,546,531,"1,448",
