STB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","8,039","6,213","8,488","8,269","9,620"
II. Tiền gửi tại NHNN,"8,000","3,000","8,808","9,285","10,105"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","2,164","7,375","5,236","6,813","1,856"
"1. Tiền, vàng gửi tại các TCTD khác","2,164","7,355","5,070","6,600","1,519"
2. Cho vay các TCTD khác,1,21,167,214,338
3. Dự phòng rủi ro cho vay các TCTD khác,-1,-1,-1,-1,-1
IV. Chứng khoán kinh doanh,63,63,62,63,
1. Chứng khoán kinh doanh,63,63,63,63,
2. Dự phòng giảm giá chứng khoán kinh doanh,-2,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,10,20,10,6,
VI. Cho vay khách hàng,"220,487","220,169","226,594","243,565","249,548"
1. Cho vay và cho thuê tài chính khách hàng,"223,016","222,947","229,441","246,691","253,392"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,529","-2,778","-2,847","-3,126","-3,844"
VII. Hoạt động mua nợ,674,644,615,600,579
1. Mua nợ,680,649,620,604,583
2. Dự phòng rủi ro hoạt động mua nợ,-5,-5,-5,-5,-5
VII. Chứng khoán đầu tư,"74,439","73,189","75,958","78,279","78,084"
1. Chứng khoán đầu tư sẵn sàng để bán,"29,746","30,007","32,950","38,252","39,317"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"46,507","45,267","45,090","42,289","40,996"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,814","-2,086","-2,082","-2,262","-2,229"
"VIII. Góp vốn, đầu tư dài hạn",253,165,165,155,155
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,411,321,321,321,321
4. Dự phòng giảm giá đầu tư dài hạn,-158,-155,-155,-166,-166
IX. Tài sản cố định,"8,068","8,101","8,135","8,151","8,109"
1. Tài sản cố định hữu hình,"4,470","4,475","4,515","4,518","4,500"
a. Nguyên giá TSCĐ,"7,056","6,721","6,802","6,850","6,891"
b. Hao mòn TSCĐ,"-2,585","-2,246","-2,287","-2,332","-2,391"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"3,598","3,626","3,620","3,633","3,609"
a. Nguyên giá TSCĐ,"4,414","4,466","4,484","4,522","4,524"
b. Hao mòn TSCĐ,-817,-839,-864,-889,-916
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
