STB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","9,908","11,464","8,222","9,874","9,744"
II. Tiền gửi tại NHNN,"11,367","12,855","12,170","12,384","12,627"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","13,542","7,772","8,354","13,222","17,877"
"1. Tiền, vàng gửi tại các TCTD khác","12,944","7,008","7,678","12,601","17,170"
2. Cho vay các TCTD khác,705,872,675,621,707
3. Dự phòng rủi ro cho vay các TCTD khác,-108,-108,,,
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,4,49,,,
VI. Cho vay khách hàng,"355,342","350,191","381,012","405,919","407,251"
1. Cho vay và cho thuê tài chính khách hàng,"361,109","356,440","387,930","413,028","414,562"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-5,767","-6,249","-6,917","-7,109","-7,310"
VII. Hoạt động mua nợ,286,283,189,189,194
1. Mua nợ,288,285,286,286,291
2. Dự phòng rủi ro hoạt động mua nợ,-2,-2,-97,-97,-97
VII. Chứng khoán đầu tư,"73,027","72,556","69,746","73,321","71,190"
1. Chứng khoán đầu tư sẵn sàng để bán,"40,278","35,361","34,048","28,759","27,511"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"38,115","42,984","41,650","51,266","52,200"
3. Dự phòng giảm giá chứng khoán đầu tư,"-5,366","-5,789","-5,952","-6,704","-8,522"
"VIII. Góp vốn, đầu tư dài hạn",228,89,89,89,89
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,258,119,97,97,97
4. Dự phòng giảm giá đầu tư dài hạn,-30,-30,-8,-8,-8
IX. Tài sản cố định,"8,476","8,194","8,195","8,096","7,848"
1. Tài sản cố định hữu hình,"4,667","4,569","4,519","4,455","4,501"
a. Nguyên giá TSCĐ,"7,869","7,860","7,868","7,895","7,861"
b. Hao mòn TSCĐ,"-3,202","-3,291","-3,349","-3,440","-3,360"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"3,809","3,624","3,677","3,642","3,346"
a. Nguyên giá TSCĐ,"5,181","5,051","5,157","5,178","4,801"
b. Hao mòn TSCĐ,"-1,372","-1,426","-1,480","-1,537","-1,455"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","32,354","30,841","33,219","29,445","24,603"
1. Các khoản phải thu,"19,901","19,342","24,875","22,940","22,055"
"2. Các khoản lãi, phí phải thu","14,051","13,226","9,951","7,945","3,908"
3. Tài sản thuế TNDN hoãn lại,450,449,405,405,406
4. Tài sản Có khác,"1,033",899,"1,064","1,072","1,043"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-3,082","-3,075","-3,076","-2,917","-2,809"
TỔNG CỘNG TÀI SẢN,"504,534","494,295","521,196","552,539","551,422"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
