LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Soát xét,VST Tính,VST Tính
Công ty kiểm toán,,,EY,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,719,734,"1,043",968,856
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,179,209,275,288,322
Các khoản dự phòng,11,64,61,48,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",1,,3,,-3
"Lãi, lỗ từ hoạt động đầu tư",-9,-26,-4,-15,-30
Chi phí lãi vay,46,67,113,105,107
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,948,"1,048","1,491","1,395","1,253"
"Tăng, giảm các khoản phải thu",-90,"-1,806","1,157",379,-25
"Tăng, giảm hàng tồn kho",-61,"-3,307","-1,587",100,968
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","1,258","2,884","-2,691",614,-78
"Tăng, giảm chi phí trả trước",-26,-76,91,29,13
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-44,-58,-83,-129,-79
Thuế thu nhập doanh nghiệp đã nộp,-145,-256,-99,-242,-218
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,840","-1,571","-1,721","2,145","1,834"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-416,-818,-532,-224,-278
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,3
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,-210,-3,-695,698
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,126,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,-828,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,-805,805,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",7,22,3,15,8
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,-695
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-409,-881,"-1,336",-928,-264
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,92,577,,1
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"6,060","9,201","8,709","8,521","7,559"
4. Tiền trả nợ gốc vay,"-6,079","-6,362","-7,295","-8,695","-6,963"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-1,,-485,
7. Tiền thu khác từ hoạt động tài chính,,,,1,-1
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,-19,"2,931","1,990",-658,595
Lưu chuyển tiền thuần trong kỳ,"1,413",479,"-1,067",560,"2,165"
Tiền và tương đương tiền đầu kỳ,"1,519","2,932","3,411","2,344","2,905"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"2,932","3,411","2,344","2,905","5,070"
