LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Soát xét,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,EY,,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,544","1,254","1,278","1,334","1,828"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,471,513,602,609,656
Các khoản dự phòng,58,42,-58,16,-51
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,,
"Lãi, lỗ từ hoạt động đầu tư",-67,-116,-181,-193,-206
Chi phí lãi vay,178,137,132,147,153
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,184","1,830","1,774","1,912","2,379"
"Tăng, giảm các khoản phải thu",879,194,-69,-154,-199
"Tăng, giảm hàng tồn kho","4,733","2,837",613,"-1,914","-3,782"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","-3,640",226,174,"1,346",304
"Tăng, giảm chi phí trả trước",31,6,8,-120,-13
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-189,-131,-122,-121,-101
Thuế thu nhập doanh nghiệp đã nộp,-161,-295,-382,-656,-447
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,837","4,666","1,997",293,"-1,859"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-668,-992,"-1,008","-1,243",-890
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,1,1,2
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-2,362","-5,339","-2,938",-874,"-5,884"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","1,691",434,"1,032","3,355","1,194"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",95,29,51,160,322
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,243","-5,868","-2,862","1,399","-5,256"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",105,,,,135
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",-4,,-1,-1,
3. Tiền thu từ đi vay,"12,236","12,298","11,669","14,965","12,982"
4. Tiền trả nợ gốc vay,"-14,773","-12,203","-10,378","-11,220","-11,146"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,-679,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,435",95,"1,289","3,065","1,971"
Lưu chuyển tiền thuần trong kỳ,158,"-1,107",425,"4,757","-5,144"
Tiền và tương đương tiền đầu kỳ,"3,115","3,273","2,166","2,591","7,348"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"3,273","2,166","2,591","7,348","2,204"
