LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Soát xét,VST Tính
Công ty kiểm toán,,,,EY,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,626",968,"2,050","2,003","1,702"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,719,748,798,858,862
Các khoản dự phòng,-20,204,47,-33,-146
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,-1,1,-1,1
"Lãi, lỗ từ hoạt động đầu tư",-232,-243,-279,-210,14
Chi phí lãi vay,170,164,188,200,366
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,263","1,841","2,804","2,817","2,799"
"Tăng, giảm các khoản phải thu",-342,470,-755,103,-650
"Tăng, giảm hàng tồn kho",867,640,"-7,649","-3,384","4,482"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",267,"-1,218","4,429","-2,148","-1,449"
"Tăng, giảm chi phí trả trước",-29,106,-92,-10,-62
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-161,-192,-132,-207,-345
Thuế thu nhập doanh nghiệp đã nộp,-365,-5,-716,-553,-428
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,500","1,642","-2,112","-3,382","4,347"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-1,452","-1,322","-1,314",-662,"-1,245"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-2,,,1,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-4,734","-3,493","-5,114","-8,616","-3,546"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3,457","4,768","2,745","11,194","2,956"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,-16,,-181
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",47,271,157,551,184
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,2,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-2,683",225,"-3,541","2,469","-1,832"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",93,,,192,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",-1,,-1,,-2
3. Tiền thu từ đi vay,"18,996","12,408","19,549","20,044","14,264"
4. Tiền trả nợ gốc vay,"-16,491","-15,441","-12,967","-20,207","-16,405"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-238,-2,,-732
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"2,597","-3,271","6,580",29,"-2,875"
Lưu chuyển tiền thuần trong kỳ,"2,414","-1,403",928,-884,-360
Tiền và tương đương tiền đầu kỳ,"2,204","4,618","3,215","4,142","3,259"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1,-1,1,-1
Tiền và tương đương tiền cuối kỳ,"4,618","3,215","4,142","3,259","2,898"
