STB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","10,350","7,850","10,543","10,562","10,292"
II. Tiền gửi tại NHNN,"12,569","12,286","12,582","13,552","13,212"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","18,024","25,294","31,349","38,193","46,344"
"1. Tiền, vàng gửi tại các TCTD khác","17,462","24,968","30,990","37,868","46,045"
2. Cho vay các TCTD khác,562,325,359,324,299
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,,,"3,000"
1. Chứng khoán kinh doanh,,,,,"3,000"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,68,110,77,121,
VI. Cho vay khách hàng,"414,923","432,998","442,922","454,128","465,403"
1. Cho vay và cho thuê tài chính khách hàng,"420,748","438,628","448,469","460,471","472,073"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-5,825","-5,630","-5,547","-6,342","-6,670"
VII. Hoạt động mua nợ,170,103,53,,
1. Mua nợ,267,125,62,,
2. Dự phòng rủi ro hoạt động mua nợ,-97,-22,-9,,
VII. Chứng khoán đầu tư,"73,974","68,844","66,626","72,553","72,547"
1. Chứng khoán đầu tư sẵn sàng để bán,"28,808","27,896","24,632","24,992","23,336"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"56,218","55,552","57,718","63,766","65,909"
3. Dự phòng giảm giá chứng khoán đầu tư,"-11,053","-14,604","-15,723","-16,205","-16,698"
"VIII. Góp vốn, đầu tư dài hạn",89,89,89,83,83
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,97,97,97,97,97
4. Dự phòng giảm giá đầu tư dài hạn,-8,-8,-8,-14,-14
IX. Tài sản cố định,"7,967","7,548","7,327","7,125","7,222"
1. Tài sản cố định hữu hình,"4,575","4,490","4,266","4,138","4,200"
a. Nguyên giá TSCĐ,"8,020","7,858","7,926","7,924","8,161"
b. Hao mòn TSCĐ,"-3,445","-3,368","-3,660","-3,787","-3,961"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"3,392","3,058","3,061","2,988","3,022"
a. Nguyên giá TSCĐ,"4,905","4,522","4,627","4,625","4,733"
b. Hao mòn TSCĐ,"-1,513","-1,465","-1,566","-1,637","-1,712"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
