STB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","12,681","13,207","11,857","12,101","13,360"
II. Tiền gửi tại NHNN,"3,503","2,949","2,807","3,300","3,209"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","13,463","15,003","9,621","9,211","13,559"
"1. Tiền, vàng gửi tại các TCTD khác","13,294","14,838","8,642","8,642","9,836"
2. Cho vay các TCTD khác,170,166,981,579,"3,741"
3. Dự phòng rủi ro cho vay các TCTD khác,-1,-1,-1,-10,-18
IV. Chứng khoán kinh doanh,402,419,349,582,"1,154"
1. Chứng khoán kinh doanh,546,555,505,661,"1,225"
2. Dự phòng giảm giá chứng khoán kinh doanh,-144,-136,-155,-78,-71
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,6,0,3,208,225
VI. Cho vay khách hàng,"79,624","80,119","79,727","79,985","79,309"
1. Cho vay và cho thuê tài chính khách hàng,"80,540","80,998","80,539","80,826","80,275"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-916,-879,-813,-840,-967
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"21,486","25,092","24,368","22,339","20,757"
1. Chứng khoán đầu tư sẵn sàng để bán,"21,260","24,882","24,164","21,325","19,699"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,243,230,232,"1,031","1,073"
3. Dự phòng giảm giá chứng khoán đầu tư,-18,-20,-28,-17,-15
"VIII. Góp vốn, đầu tư dài hạn","1,338","1,188",666,682,583
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",686,537,0,0,0
3. Đầu tư dài hạn khác,654,653,823,839,717
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,-157,-157,-134
IX. Tài sản cố định,"3,142","3,471","3,708","3,644","4,285"
1. Tài sản cố định hữu hình,"1,625","1,928","2,106","2,072","2,185"
a. Nguyên giá TSCĐ,"2,133","2,493","2,722","2,742","2,908"
b. Hao mòn TSCĐ,-507,-564,-617,-670,-723
2. Tài sản cố định thuê tài chính,1,2,2,2,3
a. Nguyên giá TSCĐ,2,2,2,2,3
b. Hao mòn TSCĐ,0,0,0,-1,-1
3. Tài sản cố định vô hình,"1,515","1,540","1,600","1,571","2,098"
a. Nguyên giá TSCĐ,"1,658","1,692","1,770","1,762","2,314"
b. Hao mòn TSCĐ,-143,-152,-170,-192,-216
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","5,493","9,080","8,426","8,797","8,485"
1. Các khoản phải thu,"2,737","5,732","5,282","4,361","4,229"
"2. Các khoản lãi, phí phải thu","1,618","2,110","2,247","2,215","1,759"
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,"1,138","1,238",902,"2,221","2,497"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,-5,0,0
TỔNG CỘNG TÀI SẢN,"141,138","150,527","141,532","140,850","144,926"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
