STB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,380","9,635","8,544","10,755","8,269"
II. Tiền gửi tại NHNN,"9,612","10,502","11,046","10,449","12,110"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","4,822","9,531","16,969","17,792","13,151"
"1. Tiền, vàng gửi tại các TCTD khác","4,448","9,228","16,716","17,351","12,717"
2. Cho vay các TCTD khác,375,304,255,441,434
3. Dự phòng rủi ro cho vay các TCTD khác,-1,-1,-1,,
IV. Chứng khoán kinh doanh,,,,465,
1. Chứng khoán kinh doanh,,,,465,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,21,20,3,14,24
VI. Cho vay khách hàng,"253,100","267,226","275,512","286,379","292,059"
1. Cho vay và cho thuê tài chính khách hàng,"256,623","271,020","279,420","290,477","296,030"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,523","-3,794","-3,908","-4,098","-3,971"
VII. Hoạt động mua nợ,545,514,487,454,423
1. Mua nợ,549,519,490,458,427
2. Dự phòng rủi ro hoạt động mua nợ,-4,-4,-4,-4,-3
VII. Chứng khoán đầu tư,"75,514","74,691","74,614","72,646","76,497"
1. Chứng khoán đầu tư sẵn sàng để bán,"37,989","37,951","39,232","41,139","46,890"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"40,233","39,621","38,568","35,006","33,647"
3. Dự phòng giảm giá chứng khoán đầu tư,"-2,708","-2,881","-3,185","-3,499","-4,040"
"VIII. Góp vốn, đầu tư dài hạn",143,143,140,140,104
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,320,320,320,320,299
4. Dự phòng giảm giá đầu tư dài hạn,-178,-178,-181,-181,-195
IX. Tài sản cố định,"8,250","8,288","8,064","8,233","8,290"
1. Tài sản cố định hữu hình,"4,618","4,662","4,586","4,633","4,697"
a. Nguyên giá TSCĐ,"7,088","7,225","7,197","7,309","7,449"
