STB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","10,994","8,415","10,409","7,679","9,120"
II. Tiền gửi tại NHNN,"11,427","14,113","12,059","10,053","11,897"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","8,354","26,355","18,316","18,397","8,632"
"1. Tiền, vàng gửi tại các TCTD khác","8,034","25,882","17,703","17,644","7,773"
2. Cho vay các TCTD khác,320,473,613,754,858
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,364,,,,
1. Chứng khoán kinh doanh,364,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,34,12,20,22
VI. Cho vay khách hàng,"302,176","306,059","315,150","334,855","351,318"
1. Cho vay và cho thuê tài chính khách hàng,"306,299","310,695","320,215","340,268","356,975"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,122","-4,636","-5,065","-5,414","-5,656"
VII. Hoạt động mua nợ,400,363,333,302,286
1. Mua nợ,403,366,336,304,289
2. Dự phòng rủi ro hoạt động mua nợ,-3,-3,-3,-2,-2
VII. Chứng khoán đầu tư,"77,440","78,479","81,641","75,277","72,359"
1. Chứng khoán đầu tư sẵn sàng để bán,"48,830","50,649","55,047","52,228","47,645"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"32,682","32,130","30,986","27,322","29,313"
3. Dự phòng giảm giá chứng khoán đầu tư,"-4,072","-4,299","-4,392","-4,273","-4,599"
"VIII. Góp vốn, đầu tư dài hạn",104,107,107,125,125
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,299,299,291,258,258
