STB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","4,229","5,565","5,652","5,323","4,816"
II. Tiền gửi tại NHNN,"3,301","3,338","3,672","3,853","4,290"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","7,470","5,715","7,088","5,731","3,607"
"1. Tiền, vàng gửi tại các TCTD khác","4,978","3,716","5,018","4,662","2,871"
2. Cho vay các TCTD khác,"2,506","2,013","2,077","1,069",735
3. Dự phòng rủi ro cho vay các TCTD khác,-14,-14,-7,,
IV. Chứng khoán kinh doanh,"2,651","6,227","5,740","12,345","7,683"
1. Chứng khoán kinh doanh,"2,877","6,352","5,950","12,451","7,732"
2. Dự phòng giảm giá chứng khoán kinh doanh,-226,-125,-210,-106,-49
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,44,5,,10,12
VI. Cho vay khách hàng,"109,214","113,215","119,726","122,952","126,646"
1. Cho vay và cho thuê tài chính khách hàng,"110,566","114,549","121,193","124,475","128,015"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,352","-1,334","-1,467","-1,523","-1,369"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"19,894","20,734","22,872","20,547","25,925"
1. Chứng khoán đầu tư sẵn sàng để bán,"19,434","19,205","21,279","18,648","20,251"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,629,"1,764","1,830","2,183","5,935"
3. Dự phòng giảm giá chứng khoán đầu tư,-169,-235,-237,-284,-260
"VIII. Góp vốn, đầu tư dài hạn",319,310,301,254,265
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,463,463,463,402,401
4. Dự phòng giảm giá đầu tư dài hạn,-144,-153,-162,-148,-136
IX. Tài sản cố định,"5,307","5,245","5,189","5,180","5,199"
1. Tài sản cố định hữu hình,"2,907","2,863","2,805","2,805","2,832"
