STB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","13,389","9,991","9,170","8,332","4,959"
II. Tiền gửi tại NHNN,"2,179","4,295","3,527","4,404","4,240"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","12,722","7,574","8,707","7,056","8,528"
"1. Tiền, vàng gửi tại các TCTD khác","3,925","2,965","3,568","3,194","6,732"
2. Cho vay các TCTD khác,"8,859","4,648","5,202","3,926","1,860"
3. Dự phòng rủi ro cho vay các TCTD khác,-62,-39,-64,-64,-64
IV. Chứng khoán kinh doanh,516,"1,272","4,698",870,904
1. Chứng khoán kinh doanh,692,"1,425","4,835","1,006","1,085"
2. Dự phòng giảm giá chứng khoán kinh doanh,-176,-153,-137,-136,-181
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,277,383,369,,
VI. Cho vay khách hàng,"86,042","94,888","96,859","107,629","107,706"
1. Cho vay và cho thuê tài chính khách hàng,"87,078","96,334","98,476","109,288","109,156"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,036","-1,447","-1,617","-1,659","-1,450"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"19,028","19,683","20,682","18,650","17,635"
1. Chứng khoán đầu tư sẵn sàng để bán,"18,232","19,366","20,528","18,621","18,108"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,021",800,633,500,
3. Dự phòng giảm giá chứng khoán đầu tư,-225,-483,-478,-471,-473
"VIII. Góp vốn, đầu tư dài hạn",357,241,241,208,208
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",33,32,32,,
3. Đầu tư dài hạn khác,466,477,477,477,477
4. Dự phòng giảm giá đầu tư dài hạn,-142,-268,-268,-269,-269
IX. Tài sản cố định,"4,407","5,219","5,305","5,170","5,296"
1. Tài sản cố định hữu hình,"2,281","2,769","2,868","2,756","2,902"
a. Nguyên giá TSCĐ,"3,075","3,649","3,820","3,655","3,867"
b. Hao mòn TSCĐ,-794,-880,-952,-899,-964
2. Tài sản cố định thuê tài chính,2,1,1,1,1
a. Nguyên giá TSCĐ,2,2,2,2,2
b. Hao mòn TSCĐ,-1,-1,-1,-1,-1
3. Tài sản cố định vô hình,"2,124","2,449","2,436","2,413","2,393"
a. Nguyên giá TSCĐ,"2,366","2,739","2,752","2,755","2,761"
b. Hao mòn TSCĐ,-242,-290,-316,-342,-368
X. Bất động sản đầu tư,0,,,,
