VCB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,EY,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","5,547","5,627","5,029","5,232","5,895"
II. Tiền gửi tại NHNN,"27,098","15,732","17,381","26,279","23,080"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","102,745","65,713","70,351","100,030","79,182"
"1. Tiền, vàng gửi tại các TCTD khác","73,342","60,536","59,109","86,232","73,017"
2. Cho vay các TCTD khác,"29,750","5,294","11,363","13,918","6,250"
3. Dự phòng rủi ro cho vay các TCTD khác,-346,-117,-121,-119,-85
IV. Chứng khoán kinh doanh,"1,158",521,142,116,49
1. Chứng khoán kinh doanh,"1,158",521,142,118,50
2. Dự phòng giảm giá chứng khoán kinh doanh,0,0,0,-1,-1
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"220,711","235,960","233,166","231,636","243,530"
1. Cho vay và cho thuê tài chính khách hàng,"227,330","241,163","239,174","237,613","250,687"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-6,620","-5,203","-6,009","-5,976","-7,157"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"46,842","78,451","79,487","60,881","73,948"
1. Chứng khoán đầu tư sẵn sàng để bán,"43,468","73,945","74,148","52,817","60,294"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,695","4,843","5,650","8,319","13,909"
3. Dự phòng giảm giá chứng khoán đầu tư,-321,-337,-311,-255,-255
"VIII. Góp vốn, đầu tư dài hạn","2,861","3,021","3,067","3,067","3,059"
1. Đầu tư vào công ty con,,,721,,
"2. Đầu tư vào công ty liên doanh, liên kết",740,733,15,735,728
3. Đầu tư dài hạn khác,"2,325","2,325","2,369","2,369","2,369"
4. Dự phòng giảm giá đầu tư dài hạn,-203,-37,-37,-37,-37
IX. Tài sản cố định,"2,497","3,660","3,519","3,463","3,338"
1. Tài sản cố định hữu hình,"1,317","2,304","2,188","2,164","1,925"
a. Nguyên giá TSCĐ,"4,380","5,472","5,483","5,585","5,015"
b. Hao mòn TSCĐ,"-3,063","-3,168","-3,295","-3,421","-3,090"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,180","1,356","1,331","1,299","1,413"
a. Nguyên giá TSCĐ,"1,475","1,676","1,676","1,660","1,810"
b. Hao mòn TSCĐ,-295,-321,-345,-361,-397
X. Bất động sản đầu tư,,,,,
