VCB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","4,317","4,082","4,717","5,233","5,009"
II. Tiền gửi tại NHNN,"12,803","7,080","5,259","8,240","22,494"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","33,283","41,590","50,611","78,756","71,158"
"1. Tiền, vàng gửi tại các TCTD khác","32,059","39,494","50,311","78,601","69,159"
2. Cho vay các TCTD khác,"1,235","2,112",303,161,"2,005"
3. Dự phòng rủi ro cho vay các TCTD khác,-11,-16,-3,-6,-6
IV. Chứng khoán kinh doanh,7,,14,7,10
1. Chứng khoán kinh doanh,7,,14,11,13
2. Dự phòng giảm giá chứng khoán kinh doanh,0,,-1,-4,-4
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,78,8,0,35,39
VI. Cho vay khách hàng,"146,446","146,850","158,524","171,143","191,824"
1. Cho vay và cho thuê tài chính khách hàng,"151,441","151,796","163,302","176,814","197,931"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,996","-4,946","-4,777","-5,670","-6,107"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"32,300","30,545","30,870","32,971","31,099"
1. Chứng khoán đầu tư sẵn sàng để bán,"20,521","21,544","21,438","22,919","27,530"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"12,205","9,411","9,863","10,352","3,869"
3. Dự phòng giảm giá chứng khoán đầu tư,-426,-411,-430,-299,-299
"VIII. Góp vốn, đầu tư dài hạn","3,688","4,567","3,731","3,960","4,062"
1. Đầu tư vào công ty con,0,"1,151",0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết","1,326","1,071","1,486","1,591","1,762"
3. Đầu tư dài hạn khác,"2,466","2,448","2,350","2,525","2,419"
4. Dự phòng giảm giá đầu tư dài hạn,-103,-103,-105,-155,-120
IX. Tài sản cố định,"1,467","1,129","1,364","1,586","1,521"
1. Tài sản cố định hữu hình,"1,115",796,"1,046","1,197","1,120"
a. Nguyên giá TSCĐ,"3,196","2,643","3,338","3,563","3,606"
b. Hao mòn TSCĐ,"-2,081","-1,847","-2,293","-2,366","-2,486"
2. Tài sản cố định thuê tài chính,0,332,0,0,0
a. Nguyên giá TSCĐ,2,516,0,0,0
b. Hao mòn TSCĐ,-2,-184,0,0,0
3. Tài sản cố định vô hình,352,,318,388,401
a. Nguyên giá TSCĐ,536,,500,581,609
b. Hao mòn TSCĐ,-184,,-182,-192,-208
X. Bất động sản đầu tư,0,,0,0,0
a. Nguyên giá BĐSĐT,0,,0,0,0
b. Hao mòn BĐSĐT,0,,0,0,0
"XI. Tài sản ""Có"" khác","4,739","10,484","5,226","5,684","5,261"
1. Các khoản phải thu,"2,658","1,876","2,539","2,932","2,236"
"2. Các khoản lãi, phí phải thu","1,543","1,913","1,967","2,183","2,601"
3. Tài sản thuế TNDN hoãn lại,0,,0,0,0
4. Tài sản Có khác,538,"6,695",720,568,423
- Trong đó: Lợi thế thương mại,0,,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,,0,0,0
TỔNG CỘNG TÀI SẢN,"239,127","246,335","260,316","307,615","332,477"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"10,966","12,916","10,170","10,077","14,480"
II. Tiền gửi và vay các TCTD khác,"31,392","26,759","29,407","59,529","70,989"
1. Tiền gửi của các TCTD khác,"26,756","22,123","24,674","54,796","62,285"
2. Vay các TCTD khác,"4,636","4,636","4,733","4,733","8,704"
III. Tiền gửi của khách hàng,"166,890","182,516","190,075","204,726","205,225"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,9,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,0,0,0,45
VI. Phát hành giấy tờ có giá,307,122,"2,285","3,564","2,624"
VII. Các khoản nợ khác,"11,955","7,615","8,122","8,383","12,415"
"1. Các khoản lãi, phí phải trả","2,234","2,907","2,254","2,616","2,691"
2. Thuế TNDN hoãn lại phải trả,0,,2,2,2
3. Các khoản phải trả và công nợ khác,"8,881","3,918","4,813","4,746","8,712"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),840,790,"1,053","1,018","1,010"
