VCB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","8,231","8,779","9,692","8,867","10,198"
II. Tiền gửi tại NHNN,"16,503","21,084","17,387","24,077","36,550"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","99,010","106,955","151,759","116,799","142,357"
"1. Tiền, vàng gửi tại các TCTD khác","62,507","71,190","103,076","87,542","97,126"
2. Cho vay các TCTD khác,"36,504","35,765","48,688","29,258","45,232"
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,-4,0,0
IV. Chứng khoán kinh doanh,"8,796","6,037","4,242","10,472","6,504"
1. Chứng khoán kinh doanh,"8,815","6,083","4,280","10,497","6,525"
2. Dự phòng giảm giá chứng khoán kinh doanh,-19,-46,-38,-25,-22
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,109,157,231,703,405
VI. Cho vay khách hàng,"417,630","437,977","452,683","490,076","513,575"
1. Cho vay và cho thuê tài chính khách hàng,"427,241","447,883","460,808","499,587","524,686"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-9,610","-9,906","-8,125","-9,511","-11,111"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,
VII. Chứng khoán đầu tư,"106,860","135,275","130,798","122,950","119,405"
1. Chứng khoán đầu tư sẵn sàng để bán,"40,947","69,081","51,924","35,087","30,385"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"67,193","68,605","79,019","88,061","89,215"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,280","-2,410",-145,-198,-196
"VIII. Góp vốn, đầu tư dài hạn","3,579","3,594","3,625","3,647","3,662"
1. Đầu tư vào công ty con,0,803,821,,
"2. Đầu tư vào công ty liên doanh, liên kết",775,801,10,11,847
3. Đầu tư dài hạn khác,"2,840","2,829","2,829","2,829","2,829"
4. Dự phòng giảm giá đầu tư dài hạn,-36,-36,-18,-14,-14
IX. Tài sản cố định,"4,870","5,054","5,639","5,551","5,539"
1. Tài sản cố định hữu hình,"3,207","3,327","3,717","3,639","3,638"
a. Nguyên giá TSCĐ,"7,796","8,057","8,622","8,697","8,850"
b. Hao mòn TSCĐ,"-4,588","-4,730","-4,905","-5,058","-5,212"
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,"1,663","1,728","1,922","1,912","1,901"
a. Nguyên giá TSCĐ,"2,237","2,311","2,519","2,519","2,519"
b. Hao mòn TSCĐ,-574,-584,-596,-607,-618
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","12,686","12,674","12,113","11,138","11,104"
1. Các khoản phải thu,"3,851","5,277","3,300","3,570","3,972"
"2. Các khoản lãi, phí phải thu","4,300","5,958","5,773","5,563","5,261"
3. Tài sản thuế TNDN hoãn lại,3,3,2,2,4
4. Tài sản Có khác,"4,533","1,437","3,073","2,004","1,868"
- Trong đó: Lợi thế thương mại,0,0,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-1,-1,-34,-1,-1
