VCB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,060","6,222","6,401","6,078","8,323"
II. Tiền gửi tại NHNN,"24,848","16,693","10,565","19,483","13,272"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","89,779","51,874","95,675","110,227","142,789"
"1. Tiền, vàng gửi tại các TCTD khác","81,853","41,649","67,698","64,789","85,712"
2. Cho vay các TCTD khác,"7,992","10,319","27,999","45,480","57,110"
3. Dự phòng rủi ro cho vay các TCTD khác,-66,-94,-22,-42,-32
IV. Chứng khoán kinh doanh,195,162,"3,686","7,248","10,122"
1. Chứng khoán kinh doanh,196,163,"3,688","7,249","10,127"
2. Dự phòng giảm giá chứng khoán kinh doanh,-1,-1,-2,-2,-4
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,137,137,105,,
VI. Cho vay khách hàng,"267,854","271,486","283,795","294,054","316,295"
1. Cho vay và cho thuê tài chính khách hàng,"274,314","279,149","292,545","302,181","323,332"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-6,461","-7,663","-8,749","-8,127","-7,037"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"64,894","85,801","87,720","78,444","67,085"
1. Chứng khoán đầu tư sẵn sàng để bán,"47,127","69,195","69,346","60,304","49,198"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"17,796","16,634","18,455","18,413","18,180"
3. Dự phòng giảm giá chứng khoán đầu tư,-29,-28,-81,-273,-293
"VIII. Góp vốn, đầu tư dài hạn","3,058","3,057","3,055","3,053","3,607"
1. Đầu tư vào công ty con,703,700,,,
"2. Đầu tư vào công ty liên doanh, liên kết",722,16,17,716,761
3. Đầu tư dài hạn khác,"2,374","2,374","2,374","2,374","2,869"
4. Dự phòng giảm giá đầu tư dài hạn,-37,-36,-36,-36,-23
IX. Tài sản cố định,"4,086","3,954","3,899","3,884","4,446"
