VCB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"9,230","9,447","10,245","10,772","11,449"
2. Chi phí lãi và các chi phí tương tự,"4,612","4,959","5,362","5,496","5,812"
I. Thu nhập lãi thuần,"4,618","4,488","4,883","5,276","5,637"
3. Thu nhập từ hoạt động dịch vụ,"1,043","1,078","1,238","1,211","1,309"
4. Chi phí hoạt động dịch vụ,522,556,708,561,645
II. Lãi/lỗ thuần từ hoạt động dịch vụ,521,521,530,650,665
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,474,528,284,642,423
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,142,203,111,104,150
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,-44,-45,-50,44
5. Thu nhập từ hoạt động khác,628,395,975,598,382
6. Chi phí hoạt động khác,96,57,193,35,37
VI. Lãi/lỗ thuần từ hoạt động khác,532,338,783,563,345
"VII. Thu nhập từ góp vốn, mua cổ phần",15,26,20,103,35
VIII. Chi phí hoạt động,"2,631","2,504","2,478","3,150","3,179"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,671","3,557","4,088","4,138","4,119"
X. Chi phí dự phòng rủi ro tín dụng,"1,699","1,510","1,897","1,401","1,602"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,972","2,047","2,191","2,737","2,518"
7. Chi phí thuế TNDN hiện hành,392,405,416,527,499
8. Chi phí thuế TNDN hoãn lại,0,0,1,,-2
XII. Chi phí thuế TNDN,392,405,417,527,497
XIII. Lợi nhuận sau thuế (XI-XII),"1,580","1,642","1,774","2,210","2,021"
XIV. Lợi ích của cổ đông thiểu số,4,5,7,4,5
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,576","1,637","1,768","2,206","2,016"
Lãi cơ bản trên cổ phiếu (BCTC),591,455,491,613,560
