VCB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","13,052","11,864","11,526","15,095","12,278"
II. Tiền gửi tại NHNN,"16,570","72,917","24,744","33,139","24,008"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","176,541","149,653","174,498","267,774","203,604"
"1. Tiền, vàng gửi tại các TCTD khác","124,435","127,712","149,620","204,519","167,653"
2. Cho vay các TCTD khác,"53,106","22,941","25,878","64,256","36,951"
3. Dự phòng rủi ro cho vay các TCTD khác,"-1,000","-1,000","-1,000","-1,000","-1,000"
IV. Chứng khoán kinh doanh,"4,119","3,647","2,251","1,954","3,866"
1. Chứng khoán kinh doanh,"4,251","3,732","2,304","1,992","3,906"
2. Dự phòng giảm giá chứng khoán kinh doanh,-132,-85,-54,-38,-40
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,,,
VI. Cho vay khách hàng,"739,957","754,373","766,795","820,420","850,461"
1. Cho vay và cho thuê tài chính khách hàng,"754,505","770,744","783,757","839,788","871,938"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-14,548","-16,371","-16,963","-19,368","-21,477"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,
VII. Chứng khoán đầu tư,"164,724","163,459","175,191","156,931","149,887"
1. Chứng khoán đầu tư sẵn sàng để bán,"33,877","28,376","37,721","42,149","46,063"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"131,309","135,578","138,033","115,383","104,465"
3. Dự phòng giảm giá chứng khoán đầu tư,-462,-494,-562,-600,-641
"VIII. Góp vốn, đầu tư dài hạn","2,487","2,239","2,347","2,236","2,261"
