VCB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"17,842","17,640","18,067","19,338","20,671"
2. Chi phí lãi và các chi phí tương tự,"6,754","7,212","7,285","7,362","7,874"
I. Thu nhập lãi thuần,"11,088","10,428","10,781","11,976","12,797"
3. Thu nhập từ hoạt động dịch vụ,"1,482","1,943","3,544","3,713","1,989"
4. Chi phí hoạt động dịch vụ,"1,053",816,"1,130","1,003","1,295"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,428,"1,127","2,414","2,711",695
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,986,"1,173","1,173","1,522","1,472"
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,9,28,-14,17,19
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,-85,0,85
5. Thu nhập từ hoạt động khác,505,653,806,576,"1,014"
6. Chi phí hoạt động khác,146,201,236,92,133
VI. Lãi/lỗ thuần từ hoạt động khác,360,452,570,484,881
"VII. Thu nhập từ góp vốn, mua cổ phần",23,45,31,24,24
VIII. Chi phí hoạt động,"4,731","5,002","3,057","4,509","5,816"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"8,163","8,250","11,813","12,224","10,157"
X. Chi phí dự phòng rủi ro tín dụng,"3,225","2,513","3,748","2,274","2,733"
XI. Tổng lợi nhuận trước thuế (IX-X),"4,938","5,738","8,064","9,950","7,423"
7. Chi phí thuế TNDN hiện hành,978,"1,138",706,"1,986","1,478"
8. Chi phí thuế TNDN hoãn lại,0,0,902,-4,3
XII. Chi phí thuế TNDN,978,"1,139","1,608","1,983","1,481"
XIII. Lợi nhuận sau thuế (XI-XII),"3,960","4,599","6,457","7,967","5,942"
XIV. Lợi ích của cổ đông thiểu số,5,5,6,5,5
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"3,956","4,594","6,451","7,962","5,937"
Lãi cơ bản trên cổ phiếu (BCTC),"1,067","1,239","1,739","1,682","1,255"
