VCB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","13,132","13,357","18,012","14,868","15,098"
II. Tiền gửi tại NHNN,"23,486","60,969","22,507","38,888","28,814"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","184,869","204,916","225,395","194,999","255,548"
"1. Tiền, vàng gửi tại các TCTD khác","163,577","166,229","180,895","156,548","206,467"
2. Cho vay các TCTD khác,"22,292","39,688","48,500","39,451","50,082"
3. Dự phòng rủi ro cho vay các TCTD khác,"-1,000","-1,000","-4,000","-1,000","-1,000"
IV. Chứng khoán kinh doanh,"3,182","3,583","2,766","3,298","3,150"
1. Chứng khoán kinh doanh,"3,221","3,622","2,823","3,373","3,187"
2. Dự phòng giảm giá chứng khoán kinh doanh,-39,-38,-56,-75,-37
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,259,303,0,,
VI. Cho vay khách hàng,"897,798","909,911","934,774","997,708","1,066,990"
1. Cho vay và cho thuê tài chính khách hàng,"921,948","936,343","960,750","1,028,900","1,100,852"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-24,150","-26,432","-25,976","-31,192","-33,862"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,
VII. Chứng khoán đầu tư,"147,997","157,249","170,605","171,953","191,408"
1. Chứng khoán đầu tư sẵn sàng để bán,"49,340","55,438","71,123","75,001","101,203"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"99,231","102,404","99,658","97,126","90,293"
3. Dự phòng giảm giá chứng khoán đầu tư,-574,-593,-175,-174,-89
"VIII. Góp vốn, đầu tư dài hạn","2,281","2,392","2,346","2,366","2,381"
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",768,796,760,781,796
3. Đầu tư dài hạn khác,"1,588","1,671","1,661","1,660","1,660"
4. Dự phòng giảm giá đầu tư dài hạn,-75,-75,-75,-75,-75
IX. Tài sản cố định,"8,318","8,177","8,626","8,345","8,104"
1. Tài sản cố định hữu hình,"5,363","5,277","5,553","5,386","5,250"
a. Nguyên giá TSCĐ,"13,221","13,335","13,725","13,749","13,797"
b. Hao mòn TSCĐ,"-7,858","-8,058","-8,173","-8,363","-8,547"
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,"2,955","2,901","3,073","2,959","2,854"
a. Nguyên giá TSCĐ,"4,214","4,257","4,622","4,621","4,618"
b. Hao mòn TSCĐ,"-1,259","-1,356","-1,549","-1,662","-1,764"
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","22,570","24,422","29,432","30,323","30,899"
1. Các khoản phải thu,"10,177","11,781","16,259","18,941","18,468"
"2. Các khoản lãi, phí phải thu","6,188","7,020","7,150","8,217","7,156"
3. Tài sản thuế TNDN hoãn lại,909,909,7,11,8
4. Tài sản Có khác,"5,300","4,715","6,020","3,158","5,273"
- Trong đó: Lợi thế thương mại,0,0,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-4,-4,-4,-4,-5
