VCB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"25,098","24,020","22,863","23,191","23,581"
2. Chi phí lãi và các chi phí tương tự,"12,297","9,942","8,955","9,614","9,739"
I. Thu nhập lãi thuần,"12,801","14,078","13,908","13,578","13,842"
3. Thu nhập từ hoạt động dịch vụ,"3,899","3,181","3,330","3,264","3,369"
4. Chi phí hoạt động dịch vụ,"2,088","1,739","1,831","1,992","2,445"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,810","1,442","1,499","1,272",924
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,893,"1,198","1,161","1,347","1,586"
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-6,23,-1,36,4
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,2,-1,3
5. Thu nhập từ hoạt động khác,"1,106",890,842,903,"1,834"
6. Chi phí hoạt động khác,696,382,817,349,549
VI. Lãi/lỗ thuần từ hoạt động khác,410,508,24,555,"1,285"
"VII. Thu nhập từ góp vốn, mua cổ phần",51,32,159,49,66
VIII. Chi phí hoạt động,"5,752","5,054","5,122","5,811","7,040"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"10,207","12,226","11,630","11,025","10,670"
X. Chi phí dự phòng rủi ro tín dụng,"-1,487","1,508","1,514",326,-32
XI. Tổng lợi nhuận trước thuế (IX-X),"11,693","10,718","10,116","10,699","10,703"
7. Chi phí thuế TNDN hiện hành,"2,230","2,134","1,992","2,126","2,274"
8. Chi phí thuế TNDN hoãn lại,104,-1,-1,0,-142
XII. Chi phí thuế TNDN,"2,333","2,132","1,992","2,126","2,133"
XIII. Lợi nhuận sau thuế (XI-XII),"9,360","8,586","8,125","8,572","8,570"
XIV. Lợi ích của cổ đông thiểu số,5,6,5,6,5
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"9,355","8,580","8,119","8,567","8,565"
Lãi cơ bản trên cổ phiếu (BCTC),"1,674","1,535","1,453","1,533","1,533"
