VCB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,192","5,275","4,921","6,453","7,852"
2. Chi phí lãi và các chi phí tương tự,"2,435","2,814","3,102","3,994","5,045"
I. Thu nhập lãi thuần,"1,757","2,461","1,819","2,460","2,806"
3. Thu nhập từ hoạt động dịch vụ,372,348,313,516,403
4. Chi phí hoạt động dịch vụ,88,121,125,152,157
II. Lãi/lỗ thuần từ hoạt động dịch vụ,284,227,187,364,245
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,201,-9,189,168,399
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,165,,15,-9,-3
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,,-6,114,0
5. Thu nhập từ hoạt động khác,96,96,188,319,88
6. Chi phí hoạt động khác,48,37,27,18,52
VI. Lãi/lỗ thuần từ hoạt động khác,48,58,161,302,36
"VII. Thu nhập từ góp vốn, mua cổ phần",27,35,110,324,81
VIII. Chi phí hoạt động,711,"1,420","1,036","1,341","1,270"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,771","1,353","1,440","2,382","2,295"
X. Chi phí dự phòng rủi ro tín dụng,353,,194,944,400
XI. Tổng lợi nhuận trước thuế (IX-X),"1,418","1,353","1,246","1,438","1,895"
7. Chi phí thuế TNDN hiện hành,345,318,315,296,454
8. Chi phí thuế TNDN hoãn lại,0,,0,0,0
XII. Chi phí thuế TNDN,345,318,315,296,454
XIII. Lợi nhuận sau thuế (XI-XII),"1,073","1,034",931,"1,142","1,441"
XIV. Lợi ích của cổ đông thiểu số,5,,5,2,6
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,068","1,034",926,"1,139","1,435"
Lãi cơ bản trên cổ phiếu (BCTC),0,,743,0,816
