VCB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","14,505","12,916","12,950","13,158","14,268"
II. Tiền gửi tại NHNN,"58,105","37,837","35,736","13,749","49,340"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","335,616","273,301","316,590","316,567","389,296"
"1. Tiền, vàng gửi tại các TCTD khác","311,150","254,973","303,761","304,725","383,376"
2. Cho vay các TCTD khác,"30,176","23,276","13,828","12,842","6,920"
3. Dự phòng rủi ro cho vay các TCTD khác,"-5,709","-4,948","-1,000","-1,000","-1,000"
IV. Chứng khoán kinh doanh,"2,495","2,936","2,432","4,146","4,576"
1. Chứng khoán kinh doanh,"2,511","2,957","2,458","4,169","4,608"
2. Dự phòng giảm giá chứng khoán kinh doanh,-16,-21,-25,-23,-32
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,511,"1,314",,,
VI. Cho vay khách hàng,"1,241,675","1,235,587","1,334,762","1,366,088","1,418,037"
1. Cho vay và cho thuê tài chính khách hàng,"1,270,359","1,266,478","1,369,645","1,401,152","1,449,220"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-28,684","-30,891","-34,884","-35,063","-31,183"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"145,780","174,372","166,832","170,417","167,383"
1. Chứng khoán đầu tư sẵn sàng để bán,"67,882","91,848","75,796","83,014","86,800"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"78,010","82,689","91,201","87,655","80,830"
3. Dự phòng giảm giá chứng khoán đầu tư,-112,-165,-165,-252,-246
"VIII. Góp vốn, đầu tư dài hạn","2,225","2,256","2,087","2,119","2,228"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",838,870,700,733,774
3. Đầu tư dài hạn khác,"1,529","1,529","1,529","1,529","1,529"
4. Dự phòng giảm giá đầu tư dài hạn,-142,-142,-142,-142,-75
