VCB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,653","8,843","9,656","8,750","7,861"
2. Chi phí lãi và các chi phí tương tự,"4,966","5,158","5,765","5,450","5,406"
I. Thu nhập lãi thuần,"2,687","3,684","3,891","3,300","2,455"
3. Thu nhập từ hoạt động dịch vụ,611,510,103,351,674
4. Chi phí hoạt động dịch vụ,165,194,-195,181,187
II. Lãi/lỗ thuần từ hoạt động dịch vụ,446,315,297,170,487
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,224,318,238,353,289
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-3,0,0,22,10
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-11,0,-14,0,2
5. Thu nhập từ hoạt động khác,98,33,99,103,75
6. Chi phí hoạt động khác,415,984,165,30,69
VI. Lãi/lỗ thuần từ hoạt động khác,-317,-951,-66,74,5
"VII. Thu nhập từ góp vốn, mua cổ phần",50,35,873,185,93
VIII. Chi phí hoạt động,"1,173","1,289","1,997","1,419","1,069"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,903","2,113","2,833","2,685","2,272"
X. Chi phí dự phòng rủi ro tín dụng,594,702,"1,717",950,"1,089"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,310","1,411","1,115","1,735","1,182"
7. Chi phí thuế TNDN hiện hành,317,344,375,388,272
8. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
XII. Chi phí thuế TNDN,317,344,375,388,272
XIII. Lợi nhuận sau thuế (XI-XII),993,"1,067",741,"1,347",910
XIV. Lợi ích của cổ đông thiểu số,6,9,-1,5,3
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),986,"1,058",742,"1,342",907
Lãi cơ bản trên cổ phiếu (BCTC),501,537,377,584,394
