VCB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,EY,,,
Ý kiến kiểm toán,,Chấp nhận toàn phần,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,386","7,485","7,981","8,509","8,806"
2. Chi phí lãi và các chi phí tương tự,"3,890","3,917","4,030","4,071","4,273"
I. Thu nhập lãi thuần,"3,496","3,569","3,951","4,437","4,533"
3. Thu nhập từ hoạt động dịch vụ,684,992,853,"1,025",955
4. Chi phí hoạt động dịch vụ,347,377,412,553,416
II. Lãi/lỗ thuần từ hoạt động dịch vụ,338,615,441,472,539
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,471,409,649,44,564
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,96,38,24,21,40
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,44,51,58,19,0
5. Thu nhập từ hoạt động khác,204,424,475,"1,040",357
6. Chi phí hoạt động khác,10,8,73,148,71
VI. Lãi/lỗ thuần từ hoạt động khác,194,416,402,892,286
"VII. Thu nhập từ góp vốn, mua cổ phần",1,7,49,-8,11
VIII. Chi phí hoạt động,"1,667","1,580","2,705","2,347","2,367"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,973","3,524","2,869","3,531","3,605"
X. Chi phí dự phòng rủi ro tín dụng,"1,517","1,829","1,371","1,351","1,305"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,456","1,695","1,498","2,180","2,299"
7. Chi phí thuế TNDN hiện hành,321,370,322,482,459
8. Chi phí thuế TNDN hoãn lại,,,,0,-1
XII. Chi phí thuế TNDN,321,370,322,482,458
XIII. Lợi nhuận sau thuế (XI-XII),"1,135","1,325","1,176","1,698","1,841"
XIV. Lợi ích của cổ đông thiểu số,3,4,4,9,4
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,132","1,321","1,172","1,689","1,837"
Lãi cơ bản trên cổ phiếu (BCTC),425,496,440,634,689
