VCB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"15,348","16,094","16,709","17,466","17,455"
2. Chi phí lãi và các chi phí tương tự,"7,367","7,595","8,130","8,607","8,815"
I. Thu nhập lãi thuần,"7,981","8,499","8,580","8,859","8,640"
3. Thu nhập từ hoạt động dịch vụ,"1,957","1,991","2,164","2,333","2,518"
4. Chi phí hoạt động dịch vụ,"1,183",921,"1,089","1,054","1,632"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,774,"1,069","1,075","1,278",886
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,657,928,699,908,843
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-68,66,19,32,30
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,0,,0,7
5. Thu nhập từ hoạt động khác,376,"1,198",859,975,396
6. Chi phí hoạt động khác,176,32,91,91,144
VI. Lãi/lỗ thuần từ hoạt động khác,201,"1,166",768,883,252
"VII. Thu nhập từ góp vốn, mua cổ phần","1,145",39,162,34,10
VIII. Chi phí hoạt động,"1,693","4,384","4,067","4,182","3,186"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"8,997","7,384","7,236","7,812","7,481"
X. Chi phí dự phòng rủi ro tín dụng,"2,381","1,506","1,811","1,503","1,971"
XI. Tổng lợi nhuận trước thuế (IX-X),"6,617","5,878","5,425","6,309","5,510"
7. Chi phí thuế TNDN hiện hành,"1,337","1,166","1,061","1,258","1,106"
8. Chi phí thuế TNDN hoãn lại,-1,1,0,0,3
XII. Chi phí thuế TNDN,"1,336","1,167","1,060","1,258","1,110"
XIII. Lợi nhuận sau thuế (XI-XII),"5,280","4,711","4,365","5,052","4,400"
XIV. Lợi ích của cổ đông thiểu số,4,4,4,3,3
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"5,276","4,707","4,361","5,048","4,397"
Lãi cơ bản trên cổ phiếu (BCTC),"1,467","1,281","1,176","1,361","1,186"
