VCB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,EY,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,716","7,488","7,381","7,190","6,971"
2. Chi phí lãi và các chi phí tương tự,"4,967","5,016","4,790","4,638","4,057"
I. Thu nhập lãi thuần,"2,748","2,471","2,591","2,553","2,914"
3. Thu nhập từ hoạt động dịch vụ,584,642,616,669,678
4. Chi phí hoạt động dịch vụ,253,242,233,281,270
II. Lãi/lỗ thuần từ hoạt động dịch vụ,331,400,383,388,408
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,326,520,476,378,421
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,106,95,6,7,2
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,-21,51,38,6
5. Thu nhập từ hoạt động khác,60,419,45,163,296
6. Chi phí hoạt động khác,3,30,27,35,17
VI. Lãi/lỗ thuần từ hoạt động khác,56,390,19,128,279
"VII. Thu nhập từ góp vốn, mua cổ phần",13,106,80,94,4
VIII. Chi phí hoạt động,"1,568","1,939","1,333","1,280","1,575"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,012","2,022","2,273","2,305","2,459"
X. Chi phí dự phòng rủi ro tín dụng,535,655,808,"1,167","1,071"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,477","1,367","1,465","1,138","1,388"
7. Chi phí thuế TNDN hiện hành,368,308,348,271,345
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,368,308,348,271,345
XIII. Lợi nhuận sau thuế (XI-XII),"1,109","1,059","1,117",867,"1,043"
XIV. Lợi ích của cổ đông thiểu số,3,4,5,7,3
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,106","1,055","1,112",861,"1,040"
Lãi cơ bản trên cổ phiếu (BCTC),479,457,482,374,449
