VCB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,773","6,891","6,947","8,519","7,642"
II. Tiền gửi tại NHNN,"17,144","12,006","10,442","19,715","13,421"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","95,725","108,330","143,811","130,734","106,096"
"1. Tiền, vàng gửi tại các TCTD khác","43,100","52,201","100,037","91,894","70,089"
2. Cho vay các TCTD khác,"52,922","56,145","43,803","38,840","36,007"
3. Dự phòng rủi ro cho vay các TCTD khác,-297,-15,-30,0,0
IV. Chứng khoán kinh doanh,"11,598","9,833","5,082","9,467","8,234"
1. Chứng khoán kinh doanh,"11,603","9,838","5,088","9,468","8,247"
2. Dự phòng giảm giá chứng khoán kinh doanh,-5,-4,-5,-1,-14
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,0,1,36
VI. Cho vay khách hàng,"322,490","332,615","348,704","378,542","401,741"
1. Cho vay và cho thuê tài chính khách hàng,"330,782","340,736","356,398","387,152","411,634"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-8,292","-8,122","-7,694","-8,610","-9,893"
VII. Hoạt động mua nợ,0,0,0,0,0
1. Mua nợ,0,0,0,0,0
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,0,0
VII. Chứng khoán đầu tư,"68,872","91,072","83,594","108,055","105,918"
1. Chứng khoán đầu tư sẵn sàng để bán,"51,797","49,893","41,388","42,941","38,714"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"17,368","41,476","42,511","65,818","67,904"
3. Dự phòng giảm giá chứng khoán đầu tư,-293,-297,-305,-704,-700
"VIII. Góp vốn, đầu tư dài hạn","3,534","3,524","3,599","3,557","3,568"
