VCB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","5,299","5,520","5,394","5,394","5,652"
II. Tiền gửi tại NHNN,"31,508","19,253","10,636","19,159","13,572"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","79,977","76,027","104,748","91,762","106,138"
"1. Tiền, vàng gửi tại các TCTD khác","78,075","73,899","71,566","50,427","70,586"
2. Cho vay các TCTD khác,"1,916","2,143","33,197","41,665","35,915"
3. Dự phòng rủi ro cho vay các TCTD khác,-14,-15,-15,-330,-363
IV. Chứng khoán kinh doanh,54,55,712,106,"1,350"
1. Chứng khoán kinh doanh,61,61,719,107,"1,350"
2. Dự phòng giảm giá chứng khoán kinh doanh,-7,-7,-8,0,0
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,55,89,0,54,0
VI. Cho vay khách hàng,"185,069","182,727","204,146","202,260","208,436"
1. Cho vay và cho thuê tài chính khách hàng,"191,590","189,751","209,418","208,214","215,509"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-6,521","-7,024","-5,272","-5,954","-7,073"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"30,482","32,767","28,880","24,896","44,552"
1. Chứng khoán đầu tư sẵn sàng để bán,"27,001","29,238","26,027","21,467","41,558"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,781","3,829","3,159","3,751","3,315"
3. Dự phòng giảm giá chứng khoán đầu tư,-299,-299,-306,-321,-321
"VIII. Góp vốn, đầu tư dài hạn","4,074","4,123","2,624","2,857","2,869"
1. Đầu tư vào công ty con,"1,748",0,0,0,730
"2. Đầu tư vào công ty liên doanh, liên kết",26,"1,823",671,736,17
3. Đầu tư dài hạn khác,"2,419","2,419","2,161","2,324","2,325"
4. Dự phòng giảm giá đầu tư dài hạn,-120,-120,-208,-203,-203
IX. Tài sản cố định,"1,455","1,690","2,605","2,596","2,537"
1. Tài sản cố định hữu hình,"1,058","1,028","1,461","1,462","1,377"
a. Nguyên giá TSCĐ,"3,638","3,675","4,190","4,304","4,324"
b. Hao mòn TSCĐ,"-2,580","-2,646","-2,729","-2,842","-2,946"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,397,662,"1,145","1,134","1,160"
a. Nguyên giá TSCĐ,613,886,"1,387","1,392","1,435"
b. Hao mòn TSCĐ,-216,-225,-242,-258,-275
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","6,235","11,485","7,006","9,824","6,558"
1. Các khoản phải thu,"2,808","2,486","2,653","5,672","2,316"
"2. Các khoản lãi, phí phải thu","3,050","3,038","3,418","2,529","2,872"
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,377,"5,961",935,"1,622","1,370"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,0,0
TỔNG CỘNG TÀI SẢN,"344,207","333,735","366,750","358,908","391,663"
