VCB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"11,597","12,347","12,728","13,437","14,353"
2. Chi phí lãi và các chi phí tương tự,"6,349","6,570","6,531","6,637","6,921"
I. Thu nhập lãi thuần,"5,248","5,777","6,197","6,800","7,432"
3. Thu nhập từ hoạt động dịch vụ,"1,345","1,516","1,579","1,699","1,786"
4. Chi phí hoạt động dịch vụ,694,940,698,847,891
II. Lãi/lỗ thuần từ hoạt động dịch vụ,651,576,881,851,895
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,645,332,615,424,570
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,135,87,277,210,-170
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,-13,,,0
5. Thu nhập từ hoạt động khác,662,714,"1,630",803,707
6. Chi phí hoạt động khác,76,108,27,23,56
VI. Lãi/lỗ thuần từ hoạt động khác,586,606,"1,603",780,651
"VII. Thu nhập từ góp vốn, mua cổ phần",23,164,351,194,37
VIII. Chi phí hoạt động,"3,104","2,434","4,067","3,864","3,986"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"4,184","5,095","5,857","5,395","5,429"
X. Chi phí dự phòng rủi ro tín dụng,"1,504","1,692","1,498","1,738","1,762"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,680","3,403","4,359","3,657","3,666"
7. Chi phí thuế TNDN hiện hành,531,677,851,726,728
8. Chi phí thuế TNDN hoãn lại,0,-2,0,0,0
XII. Chi phí thuế TNDN,531,675,851,726,728
XIII. Lợi nhuận sau thuế (XI-XII),"2,149","2,728","3,508","2,932","2,938"
XIV. Lợi ích của cổ đông thiểu số,5,7,4,5,4
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,144","2,721","3,504","2,927","2,935"
Lãi cơ bản trên cổ phiếu (BCTC),596,756,974,813,816
