VCB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","9,253","10,103","9,656","12,663","9,857"
II. Tiền gửi tại NHNN,"26,414","93,616","27,849","13,342","30,489"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","181,411","232,922","157,074","142,503","152,374"
"1. Tiền, vàng gửi tại các TCTD khác","128,192","158,992","107,376","106,229","99,536"
2. Cho vay các TCTD khác,"53,220","73,930","49,698","36,274","52,839"
3. Dự phòng rủi ro cho vay các TCTD khác,0,-1,,,
IV. Chứng khoán kinh doanh,"8,350","9,669","12,497","8,289","3,744"
1. Chứng khoán kinh doanh,"8,418","9,750","12,565","8,360","3,820"
2. Dự phòng giảm giá chứng khoán kinh doanh,-68,-81,-68,-70,-76
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,730,832,945,14,
VI. Cho vay khách hàng,"525,869","535,321","568,031","596,235","616,409"
1. Cho vay và cho thuê tài chính khách hàng,"536,059","543,434","577,615","606,053","627,951"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-10,190","-8,113","-9,583","-9,818","-11,542"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"124,516","129,952","205,137","182,872","159,115"
1. Chứng khoán đầu tư sẵn sàng để bán,"34,402","34,688","99,847","66,151","40,998"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"90,252","95,404","105,458","117,012","118,447"
3. Dự phòng giảm giá chứng khoán đầu tư,-138,-140,-168,-291,-329
"VIII. Góp vốn, đầu tư dài hạn","3,676","3,547","3,398","3,290","3,214"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",861,866,887,890,890
3. Đầu tư dài hạn khác,"2,829","2,706","2,536","2,426","2,349"
4. Dự phòng giảm giá đầu tư dài hạn,-14,-25,-25,-25,-25
IX. Tài sản cố định,"5,476","6,162","6,077","5,994","6,140"
1. Tài sản cố định hữu hình,"3,569","4,198","4,128","4,044","4,204"
a. Nguyên giá TSCĐ,"8,927","9,702","9,799","9,890","10,226"
b. Hao mòn TSCĐ,"-5,358","-5,504","-5,671","-5,845","-6,022"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,908","1,964","1,949","1,949","1,936"
a. Nguyên giá TSCĐ,"2,537","2,607","2,607","2,622","2,622"
b. Hao mòn TSCĐ,-629,-642,-658,-672,-686
